分数,位次区间,同分人数,建议位次
681,1-1299,1299,1299
680,1300-1359,60,1359
679,1360-1429,70,1429
678,1430-1505,76,1505
677,1506-1579,74,1579
676,1580-1672,93,1672
675,1673-1762,90,1762
674,1763-1856,94,1856
673,1857-1935,79,1935
672,1936-2016,81,2016
671,2017-2103,87,2103
670,2104-2220,117,2220
669,2221-2310,90,2310
668,2311-2401,91,2401
667,2402-2487,86,2487
666,2488-2582,95,2582
665,2583-2670,88,2670
664,2671-2773,103,2773
663,2774-2883,110,2883
662,2884-2980,97,2980
661,2981-3094,114,3094
660,3095-3192,98,3192
659,3193-3301,109,3301
658,3302-3418,117,3418
657,3419-3540,122,3540
656,3541-3645,105,3645
655,3646-3779,134,3779
654,3780-3893,114,3893
653,3894-4021,128,4021
652,4022-4151,130,4151
651,4152-4269,118,4269
650,4270-4391,122,4391
649,4392-4516,125,4516
648,4517-4641,125,4641
647,4642-4777,136,4777
646,4778-4914,137,4914
645,4915-5070,156,5070
644,5071-5202,132,5202
643,5203-5330,128,5330
642,5331-5483,153,5483
641,5484-5633,150,5633
640,5634-5786,153,5786
639,5787-5958,172,5958
638,5959-6105,147,6105
637,6106-6259,154,6259
636,6260-6411,152,6411
635,6412-6550,139,6550
634,6551-6697,147,6697
633,6698-6842,145,6842
632,6843-6995,153,6995
631,6996-7166,171,7166
630,7167-7335,169,7335
629,7336-7494,159,7494
628,7495-7682,188,7682
627,7683-7842,160,7842
626,7843-7990,148,7990
625,7991-8171,181,8171
624,8172-8361,190,8361
623,8362-8527,166,8527
622,8528-8689,162,8689
621,8690-8865,176,8865
620,8866-9054,189,9054
619,9055-9238,184,9238
618,9239-9411,173,9411
617,9412-9601,190,9601
616,9602-9784,183,9784
615,9785-9985,201,9985
614,9986-10145,160,10145
613,10146-10330,185,10330
612,10331-10490,160,10490
611,10491-10670,180,10670
610,10671-10861,191,10861
609,10862-11038,177,11038
608,11039-11200,162,11200
607,11201-11390,190,11390
606,11391-11582,192,11582
605,11583-11779,197,11779
604,11780-11977,198,11977
603,11978-12137,160,12137
602,12138-12316,179,12316
601,12317-12510,194,12510
600,12511-12685,175,12685
599,12686-12873,188,12873
598,12874-13066,193,13066
597,13067-13240,174,13240
596,13241-13418,178,13418
595,13419-13589,171,13589
594,13590-13777,188,13777
593,13778-13964,187,13964
592,13965-14152,188,14152
591,14153-14334,182,14334
590,14335-14520,186,14520
589,14521-14727,207,14727
588,14728-14918,191,14918
587,14919-15116,198,15116
586,15117-15319,203,15319
585,15320-15511,192,15511
584,15512-15712,201,15712
583,15713-15939,227,15939
582,15940-16145,206,16145
581,16146-16352,207,16352
580,16353-16540,188,16540
579,16541-16747,207,16747
578,16748-16919,172,16919
577,16920-17127,208,17127
576,17128-17315,188,17315
575,17316-17520,205,17520
574,17521-17716,196,17716
573,17717-17916,200,17916
572,17917-18123,207,18123
571,18124-18332,209,18332
570,18333-18519,187,18519
569,18520-18731,212,18731
568,18732-18912,181,18912
567,18913-19122,210,19122
566,19123-19330,208,19330
565,19331-19542,212,19542
564,19543-19749,207,19749
563,19750-19961,212,19961
562,19962-20153,192,20153
561,20154-20366,213,20366
560,20367-20549,183,20549
559,20550-20765,216,20765
558,20766-20977,212,20977
557,20978-21177,200,21177
556,21178-21399,222,21399
555,21400-21613,214,21613
554,21614-21824,211,21824
553,21825-22054,230,22054
552,22055-22233,179,22233
551,22234-22446,213,22446
550,22447-22682,236,22682
549,22683-22877,195,22877
548,22878-23093,216,23093
547,23094-23304,211,23304
546,23305-23534,230,23534
545,23535-23765,231,23765
544,23766-23985,220,23985
543,23986-24183,198,24183
542,24184-24386,203,24386
541,24387-24624,238,24624
540,24625-24859,235,24859
539,24860-25065,206,25065
538,25066-25273,208,25273
537,25274-25489,216,25489
536,25490-25717,228,25717
535,25718-25919,202,25919
534,25920-26139,220,26139
533,26140-26356,217,26356
532,26357-26565,209,26565
531,26566-26762,197,26762
530,26763-26962,200,26962
529,26963-27175,213,27175
528,27176-27406,231,27406
527,27407-27637,231,27637
526,27638-27850,213,27850
525,27851-28104,254,28104
524,28105-28331,227,28331
523,28332-28532,201,28532
522,28533-28763,231,28763
521,28764-28990,227,28990
520,28991-29214,224,29214
519,29215-29427,213,29427
518,29428-29636,209,29636
517,29637-29855,219,29855
516,29856-30067,212,30067
515,30068-30301,234,30301
514,30302-30504,203,30504
513,30505-30719,215,30719
512,30720-30910,191,30910
511,30911-31123,213,31123
510,31124-31331,208,31331
509,31332-31585,254,31585
508,31586-31809,224,31809
507,31810-32021,212,32021
506,32022-32234,213,32234
505,32235-32449,215,32449
504,32450-32648,199,32648
503,32649-32846,198,32846
502,32847-33060,214,33060
501,33061-33271,211,33271
500,33272-33486,215,33486
499,33487-33696,210,33696
498,33697-33915,219,33915
497,33916-34149,234,34149
496,34150-34354,205,34354
495,34355-34563,209,34563
494,34564-34790,227,34790
