分数,位次区间,同分人数,建议位次
680,34-34,34,34
679,40-40,6,40
678,46-46,6,46
677,55-55,9,55
676,60-60,5,60
675,64-64,4,64
674,72-72,8,72
673,82-82,10,82
672,93-93,11,93
671,105-105,12,105
670,118-118,13,118
669,137-137,19,137
668,151-151,14,151
667,173-173,22,173
666,183-183,10,183
665,200-200,17,200
664,218-218,18,218
663,231-231,13,231
662,257-257,26,257
661,281-281,24,281
660,313-313,32,313
659,342-342,29,342
658,366-366,24,366
657,401-401,35,401
656,436-436,35,436
655,477-477,41,477
654,513-513,36,513
653,560-560,47,560
652,608-608,48,608
651,658-658,50,658
650,710-710,52,710
649,764-764,54,764
648,837-837,73,837
647,886-886,49,886
646,949-949,63,949
645,1016-1016,67,1016
644,1098-1098,82,1098
643,1176-1176,78,1176
642,1242-1242,66,1242
641,1334-1334,92,1334
640,1428-1428,94,1428
639,1525-1525,97,1525
638,1604-1604,79,1604
637,1689-1689,85,1689
636,1776-1776,87,1776
635,1889-1889,113,1889
634,2024-2024,135,2024
633,2156-2156,132,2156
632,2283-2283,127,2283
631,2418-2418,135,2418
630,2544-2544,126,2544
629,2693-2693,149,2693
628,2846-2846,153,2846
627,3008-3008,162,3008
626,3178-3178,170,3178
625,3338-3338,160,3338
624,3506-3506,168,3506
623,3705-3705,199,3705
622,3900-3900,195,3900
621,4073-4073,173,4073
620,4276-4276,203,4276
619,4458-4458,182,4458
618,4687-4687,229,4687
617,4895-4895,208,4895
616,5107-5107,212,5107
615,5323-5323,216,5323
614,5569-5569,246,5569
613,5819-5819,250,5819
612,6049-6049,230,6049
611,6343-6343,294,6343
610,6588-6588,245,6588
609,6887-6887,299,6887
608,7171-7171,284,7171
607,7470-7470,299,7470
606,7785-7785,315,7785
605,8076-8076,291,8076
604,8390-8390,314,8390
603,8730-8730,340,8730
602,9065-9065,335,9065
601,9445-9445,380,9445
600,9823-9823,378,9823
599,10212-10212,389,10212
598,10589-10589,377,10589
597,10996-10996,407,10996
596,11399-11399,403,11399
595,11821-11821,422,11821
594,12236-12236,415,12236
593,12676-12676,440,12676
592,13125-13125,449,13125
591,13583-13583,458,13583
590,14004-14004,421,14004
589,14462-14462,458,14462
588,14950-14950,488,14950
587,15439-15439,489,15439
586,15960-15960,521,15960
585,16469-16469,509,16469
584,17032-17032,563,17032
583,17536-17536,504,17536
582,18065-18065,529,18065
581,18643-18643,578,18643
580,19205-19205,562,19205
579,19795-19795,590,19795
578,20380-20380,585,20380
577,20936-20936,556,20936
576,21536-21536,600,21536
575,22143-22143,607,22143
574,22729-22729,586,22729
573,23356-23356,627,23356
572,23984-23984,628,23984
571,24634-24634,650,24634
570,25269-25269,635,25269
569,25895-25895,626,25895
568,26529-26529,634,26529
567,27220-27220,691,27220
566,27894-27894,674,27894
565,28568-28568,674,28568
564,29282-29282,714,29282
563,30033-30033,751,30033
562,30764-30764,731,30764
561,31495-31495,731,31495
560,32247-32247,752,32247
559,33069-33069,822,33069
558,33822-33822,753,33822
557,34586-34586,764,34586
556,35406-35406,820,35406
555,36191-36191,785,36191
554,36948-36948,757,36948
553,37725-37725,777,37725
552,38584-38584,859,38584
551,39421-39421,837,39421
