分数,位次区间,同分人数,建议位次
435,80563-81214,652,81214
434,81215-81856,642,81856
433,81857-82506,650,82506
432,82507-83154,648,83154
431,83155-83832,678,83832
430,83833-84446,614,84446
429,84447-85125,679,85125
428,85126-85781,656,85781
427,85782-86457,676,86457
426,86458-87102,645,87102
425,87103-87768,666,87768
424,87769-88401,633,88401
423,88402-89048,647,89048
422,89049-89696,648,89696
421,89697-90279,583,90279
420,90280-90892,613,90892
419,90893-91523,631,91523
418,91524-92125,602,92125
417,92126-92702,577,92702
416,92703-93370,668,93370
415,93371-93982,612,93982
414,93983-94548,566,94548
413,94549-95170,622,95170
412,95171-95710,540,95710
411,95711-96285,575,96285
410,96286-96852,567,96852
409,96853-97416,564,97416
408,97417-97959,543,97959
407,97960-98496,537,98496
406,98497-99015,519,99015
405,99016-99573,558,99573
404,99574-100127,554,100127
403,100128-100719,592,100719
402,100720-101261,542,101261
401,101262-101849,588,101849
400,101850-102377,528,102377
399,102378-102930,553,102930
398,102931-103499,569,103499
397,103500-104063,564,104063
396,104064-104579,516,104579
395,104580-105129,550,105129
394,105130-105654,525,105654
393,105655-106197,543,106197
392,106198-106745,548,106745
391,106746-107310,565,107310
390,107311-107827,517,107827
389,107828-108347,520,108347
388,108348-108837,490,108837
387,108838-109310,473,109310
386,109311-109816,506,109816
385,109817-110316,500,110316
384,110317-110800,484,110800
383,110801-111257,457,111257
382,111258-111717,460,111717
381,111718-112234,517,112234
380,112235-112719,485,112719
379,112720-113198,479,113198
378,113199-113697,499,113697
377,113698-114167,470,114167
376,114168-114671,504,114671
375,114672-115147,476,115147
374,115148-115580,433,115580
373,115581-116026,446,116026
372,116027-116456,430,116456
371,116457-116888,432,116888
370,116889-117295,407,117295
369,117296-117780,485,117780
368,117781-118242,462,118242
367,118243-118710,468,118710
366,118711-119142,432,119142
365,119143-119570,428,119570
364,119571-120010,440,120010
363,120011-120416,406,120416
362,120417-120854,438,120854
361,120855-121293,439,121293
360,121294-121694,401,121694
359,121695-122131,437,122131
358,122132-122532,401,122532
357,122533-122948,416,122948
356,122949-123367,419,123367
355,123368-123782,415,123782
354,123783-124183,401,124183
353,124184-124575,392,124575
352,124576-124988,413,124988
351,124989-125403,415,125403
350,125404-125793,390,125793
349,125794-126214,421,126214
348,126215-126631,417,126631
347,126632-126998,367,126998
346,126999-127428,430,127428
345,127429-127786,358,127786
344,127787-128189,403,128189
343,128190-128564,375,128564
342,128565-128934,370,128934
341,128935-129304,370,129304
340,129305-129707,403,129707
339,129708-130091,384,130091
338,130092-130458,367,130458
337,130459-130804,346,130804
336,130805-131158,354,131158
335,131159-131530,372,131530
334,131531-131881,351,131881
333,131882-132228,347,132228
332,132229-132566,338,132566
331,132567-132911,345,132911
330,132912-133248,337,133248
329,133249-133607,359,133607
328,133608-133950,343,133950
327,133951-134268,318,134268
326,134269-134613,345,134613
325,134614-134927,314,134927
324,134928-135254,327,135254
323,135255-135576,322,135576
322,135577-135957,381,135957
321,135958-136281,324,136281
320,136282-136610,329,136610
319,136611-136925,315,136925
318,136926-137250,325,137250
317,137251-137570,320,137570
316,137571-137894,324,137894
315,137895-138177,283,138177
314,138178-138506,329,138506
313,138507-138816,310,138816
312,138817-139139,323,139139
311,139140-139455,316,139455
310,139456-139782,327,139782
309,139783-140088,306,140088
308,140089-140376,288,140376
307,140377-140661,285,140661
306,140662-140969,308,140969
305,140970-141257,288,141257
304,141258-141512,255,141512
303,141513-141816,304,141816
302,141817-142107,291,142107
301,142108-142381,274,142381
300,142382-142648,267,142648
299,142649-142923,275,142923
298,142924-143208,285,143208
297,143209-143474,266,143474
296,143475-143769,295,143769
295,143770-144054,285,144054
294,144055-144324,270,144324
293,144325-144587,263,144587
292,144588-144884,297,144884
291,144885-145144,260,145144
290,145145-145412,268,145412
289,145413-145681,269,145681
288,145682-145924,243,145924
287,145925-146155,231,146155
286,146156-146418,263,146418
285,146419-146649,231,146649
284,146650-146893,244,146893
283,146894-147182,289,147182
282,147183-147418,236,147418
281,147419-147633,215,147633
280,147634-147850,217,147850
279,147851-148078,228,148078
278,148079-148294,216,148294
277,148295-148488,194,148488
276,148489-148702,214,148702
275,148703-148933,231,148933
274,148934-149144,211,149144
273,149145-149326,182,149326
272,149327-149537,211,149537
271,149538-149755,218,149755
270,149756-149985,230,149985
269,149986-150199,214,150199
268,150200-150391,192,150391
267,150392-150593,202,150593
266,150594-150800,207,150800
265,150801-151004,204,151004
264,151005-151187,183,151187
263,151188-151398,211,151398
262,151399-151595,197,151595
261,151596-151793,198,151793
260,151794-151989,196,151989
259,151990-152174,185,152174
258,152175-152367,193,152367
257,152368-152547,180,152547
256,152548-152738,191,152738
255,152739-152914,176,152914
254,152915-153107,193,153107
253,153108-153272,165,153272
252,153273-153444,172,153444
251,153445-153623,179,153623
250,153624-153809,186,153809
249,153810-153975,166,153975
248,153976-154135,160,154135
247,154136-154299,164,154299
246,154300-154457,158,154457
245,154458-154584,127,154584
244,154585-154736,152,154736
243,154737-154915,179,154915
242,154916-155088,173,155088
241,155089-155228,140,155228
240,155229-155367,139,155367
239,155368-155532,165,155532
238,155533-155677,145,155677
237,155678-155820,143,155820
236,155821-155945,125,155945
235,155946-156111,166,156111
234,156112-156283,172,156283
233,156284-156437,154,156437
232,156438-156571,134,156571
231,156572-156697,126,156697
230,156698-156840,143,156840
229,156841-156961,121,156961
228,156962-157092,131,157092
227,157093-157205,113,157205
226,157206-157334,129,157334
225,157335-157462,128,157462
224,157463-157575,113,157575
223,157576-157701,126,157701
222,157702-157813,112,157813
221,157814-157920,107,157920
220,157921-158036,116,158036
219,158037-158149,113,158149
218,158150-158272,123,158272
217,158273-158385,113,158385
216,158386-158497,112,158497
215,158498-158607,110,158607
214,158608-158719,112,158719
213,158720-158823,104,158823
212,158824-158946,123,158946
211,158947-159037,91,159037
210,159038-159140,103,159140
209,159141-159253,113,159253
208,159254-159321,68,159321
207,159322-159399,78,159399
206,159400-159511,112,159511
205,159512-159616,105,159616
204,159617-159708,92,159708
203,159709-159806,98,159806
202,159807-159894,88,159894
201,159895-159983,89,159983
200,159984-160075,92,160075
199,160076-160162,87,160162
198,160163-160243,81,160243
197,160244-160315,72,160315
196,160316-160393,78,160393
195,160394-160457,64,160457
194,160458-160528,71,160528
193,160529-160593,65,160593
192,160594-160666,73,160666
191,160667-160729,63,160729
190,160730-160801,72,160801
189,160802-160859,58,160859
188,160860-160924,65,160924
187,160925-160994,70,160994
186,160995-161049,55,161049
185,161050-161113,64,161113
184,161114-161173,60,161173
183,161174-161236,63,161236
182,161237-161293,57,161293
181,161294-161345,52,161345
180,161346-161405,60,161405
179,161406-161458,53,161458
178,161459-161505,47,161505
177,161506-161552,47,161552
176,161553-161602,50,161602
175,161603-161643,41,161643
174,161644-161701,58,161701
173,161702-161747,46,161747
172,161748-161787,40,161787
171,161788-161820,33,161820
170,161821-161878,58,161878
169,161879-161917,39,161917
168,161918-161962,45,161962
167,161963-162000,38,162000
166,162001-162037,37,162037
165,162038-162073,36,162073
164,162074-162111,38,162111
163,162112-162143,32,162143
162,162144-162180,37,162180
161,162181-162215,35,162215
160,162216-162243,28,162243
159,162244-162273,30,162273
158,162274-162304,31,162304
157,162305-162327,23,162327
156,162328-162356,29,162356
155,162357-162380,24,162380
154,162381-162403,23,162403
153,162404-162430,27,162430
152,162431-162452,22,162452
151,162453-162468,16,162468
150,162469-162496,28,162496
149,162497-162517,21,162517
148,162518-162530,13,162530
147,162531-162548,18,162548
146,162549-162562,14,162562
145,162563-162580,18,162580
144,162581-162594,14,162594
143,162595-162611,17,162611
142,162612-162631,20,162631
141,162632-162649,18,162649
140,162650-162663,14,162663
139,162664-162671,8,162671
138,162672-162679,8,162679
137,162680-162686,7,162686
136,162687-162694,8,162694
135,162695-162700,6,162700
134,162701-162708,8,162708
133,162709-162719,11,162719
132,162720-162728,9,162728
131,162729-162738,10,162738
130,162739-162758,20,162758
129,162759-162763,5,162763
128,162764-162774,11,162774
127,162775-162783,9,162783
126,162784-162799,16,162799
125,162800-162804,5,162804
124,162805-162815,11,162815
123,162816-162819,4,162819
122,162820-162828,9,162828
121,162829-162834,6,162834
120,162835-162842,8,162842
119,162843-162849,7,162849
118,162850-162855,6,162855
117,162856-162863,8,162863
116,162864-162868,5,162868
115,162869-162875,7,162875
114,162876-162881,6,162881
113,162882-162888,7,162888
112,162889-162893,5,162893
111,162894-162896,3,162896
110,162897-162902,6,162902
109,162903-162907,5,162907
108,162908-162911,4,162911
107,162912-162918,7,162918
106,162919-162922,4,162922
105,162923-162924,2,162924
104,162925-162929,5,162929
103,162930-162935,6,162935
102,162936-162937,2,162937
101,162938-162943,6,162943
100,162944-162946,3,162946
