分数,位次区间,同分人数,建议位次
676,1-120,120,120
675,121-130,10,130
674,131-141,11,141
673,142-160,19,160
672,161-177,17,177
671,178-190,13,190
670,191-207,17,207
669,208-219,12,219
668,220-230,11,230
667,231-242,12,242
666,243-260,18,260
665,261-288,28,288
664,289-312,24,312
663,313-337,25,337
662,338-359,22,359
661,360-389,30,389
660,390-419,30,419
659,420-454,35,454
658,455-484,30,484
657,485-521,37,521
656,522-548,27,548
655,549-580,32,580
654,581-611,31,611
653,612-645,34,645
652,646-675,30,675
651,676-711,36,711
650,712-746,35,746
649,747-783,37,783
648,784-841,58,841
647,842-886,45,886
646,887-927,41,927
645,928-975,48,975
644,976-1013,38,1013
643,1014-1068,55,1068
642,1069-1121,53,1121
641,1122-1171,50,1171
640,1172-1220,49,1220
639,1221-1262,42,1262
638,1263-1310,48,1310
637,1311-1378,68,1378
636,1379-1437,59,1437
635,1438-1479,42,1479
634,1480-1534,55,1534
633,1535-1598,64,1598
632,1599-1649,51,1649
631,1650-1710,61,1710
630,1711-1767,57,1767
629,1768-1830,63,1830
628,1831-1890,60,1890
627,1891-1960,70,1960
626,1961-2041,81,2041
625,2042-2119,78,2119
624,2120-2189,70,2189
623,2190-2268,79,2268
622,2269-2341,73,2341
621,2342-2420,79,2420
620,2421-2489,69,2489
619,2490-2559,70,2559
618,2560-2631,72,2631
617,2632-2717,86,2717
616,2718-2790,73,2790
615,2791-2862,72,2862
614,2863-2958,96,2958
613,2959-3051,93,3051
612,3052-3133,82,3133
611,3134-3214,81,3214
610,3215-3297,83,3297
609,3298-3381,84,3381
608,3382-3475,94,3475
607,3476-3569,94,3569
606,3570-3659,90,3659
605,3660-3754,95,3754
604,3755-3860,106,3860
603,3861-3946,86,3946
602,3947-4034,88,4034
601,4035-4119,85,4119
600,4120-4213,94,4213
599,4214-4335,122,4335
598,4336-4432,97,4432
597,4433-4535,103,4535
596,4536-4664,129,4664
595,4665-4770,106,4770
594,4771-4884,114,4884
593,4885-4984,100,4984
592,4985-5089,105,5089
591,5090-5195,106,5195
590,5196-5312,117,5312
589,5313-5417,105,5417
588,5418-5525,108,5525
587,5526-5637,112,5637
586,5638-5752,115,5752
585,5753-5867,115,5867
584,5868-6003,136,6003
583,6004-6129,126,6129
582,6130-6239,110,6239
581,6240-6365,126,6365
580,6366-6479,114,6479
579,6480-6597,118,6597
578,6598-6712,115,6712
577,6713-6833,121,6833
576,6834-6967,134,6967
575,6968-7119,152,7119
574,7120-7243,124,7243
573,7244-7376,133,7376
572,7377-7499,123,7499
571,7500-7645,146,7645
570,7646-7777,132,7777
569,7778-7914,137,7914
568,7915-8046,132,8046
567,8047-8199,153,8199
566,8200-8341,142,8341
565,8342-8467,126,8467
564,8468-8612,145,8612
563,8613-8741,129,8741
562,8742-8895,154,8895
561,8896-9035,140,9035
560,9036-9191,156,9191
559,9192-9329,138,9329
558,9330-9483,154,9483
557,9484-9648,165,9648
556,9649-9798,150,9798
555,9799-9948,150,9948
554,9949-10085,137,10085
553,10086-10265,180,10265
552,10266-10428,163,10428
551,10429-10614,186,10614
550,10615-10791,177,10791
549,10792-10940,149,10940
548,10941-11083,143,11083
547,11084-11242,159,11242
546,11243-11392,150,11392
545,11393-11574,182,11574
544,11575-11758,184,11758
543,11759-11940,182,11940
542,11941-12114,174,12114
541,12115-12304,190,12304
540,12305-12470,166,12470
539,12471-12652,182,12652
538,12653-12809,157,12809
537,12810-12990,181,12990
536,12991-13167,177,13167
535,13168-13333,166,13333
534,13334-13519,186,13519
533,13520-13682,163,13682
532,13683-13841,159,13841
531,13842-14042,201,14042
530,14043-14233,191,14233
529,14234-14394,161,14394
528,14395-14576,182,14576
527,14577-14766,190,14766
526,14767-14943,177,14943
525,14944-15147,204,15147
524,15148-15339,192,15339
523,15340-15506,167,15506
522,15507-15683,177,15683
521,15684-15866,183,15866
520,15867-16058,192,16058
519,16059-16271,213,16271
518,16272-16453,182,16453
517,16454-16612,159,16612
516,16613-16787,175,16787
515,16788-16983,196,16983
514,16984-17194,211,17194
513,17195-17381,187,17381
512,17382-17596,215,17596
511,17597-17797,201,17797
510,17798-17983,186,17983
509,17984-18160,177,18160
508,18161-18362,202,18362
507,18363-18567,205,18567
506,18568-18765,198,18765
505,18766-18968,203,18968
504,18969-19168,200,19168
503,19169-19358,190,19358
