分数,位次区间,同分人数,建议位次
684,1-10,10,10
683,11-14,4,14
682,15-16,2,16
681,17-19,3,19
680,20-22,3,22
679,23-26,4,26
678,27-27,1,27
677,28-28,1,28
676,29-33,5,33
675,34-34,1,34
674,35-37,3,37
673,38-38,1,38
672,39-39,1,39
671,40-41,2,41
670,42-46,5,46
669,47-50,4,50
668,51-56,6,56
667,57-66,10,66
666,67-71,5,71
665,72-77,6,77
664,78-85,8,85
663,86-96,11,96
662,97-104,8,104
661,105-112,8,112
660,113-122,10,122
659,123-136,14,136
658,137-145,9,145
657,146-162,17,162
656,163-179,17,179
655,180-194,15,194
654,195-211,17,211
653,212-228,17,228
652,229-245,17,245
651,246-260,15,260
650,261-279,19,279
649,280-295,16,295
648,296-316,21,316
647,317-345,29,345
646,346-367,22,367
645,368-387,20,387
644,388-412,25,412
643,413-436,24,436
642,437-469,33,469
641,470-502,33,502
640,503-537,35,537
639,538-569,32,569
638,570-610,41,610
637,611-650,40,650
636,651-690,40,690
635,691-737,47,737
634,738-787,50,787
633,788-830,43,830
632,831-876,46,876
631,877-929,53,929
630,930-972,43,972
629,973-1013,41,1013
628,1014-1068,55,1068
627,1069-1124,56,1124
626,1125-1177,53,1177
625,1178-1233,56,1233
624,1234-1294,61,1294
623,1295-1347,53,1347
622,1348-1407,60,1407
621,1408-1465,58,1465
620,1466-1532,67,1532
619,1533-1620,88,1620
618,1621-1702,82,1702
617,1703-1797,95,1797
616,1798-1878,81,1878
615,1879-1956,78,1956
614,1957-2058,102,2058
613,2059-2162,104,2162
612,2163-2254,92,2254
611,2255-2350,96,2350
610,2351-2456,106,2456
609,2457-2577,121,2577
608,2578-2667,90,2667
607,2668-2771,104,2771
606,2772-2877,106,2877
605,2878-2981,104,2981
604,2982-3084,103,3084
603,3085-3197,113,3197
602,3198-3309,112,3309
601,3310-3436,127,3436
600,3437-3562,126,3562
599,3563-3694,132,3694
598,3695-3837,143,3837
597,3838-3965,128,3965
596,3966-4095,130,4095
595,4096-4239,144,4239
594,4240-4375,136,4375
593,4376-4535,160,4535
592,4536-4712,177,4712
591,4713-4868,156,4868
590,4869-5048,180,5048
589,5049-5202,154,5202
588,5203-5362,160,5362
587,5363-5508,146,5508
586,5509-5663,155,5663
585,5664-5841,178,5841
584,5842-6000,159,6000
583,6001-6175,175,6175
582,6176-6334,159,6334
581,6335-6524,190,6524
580,6525-6743,219,6743
579,6744-6942,199,6942
578,6943-7167,225,7167
577,7168-7376,209,7376
576,7377-7580,204,7580
575,7581-7792,212,7792
574,7793-7999,207,7999
573,8000-8184,185,8184
572,8185-8438,254,8438
571,8439-8662,224,8662
570,8663-8897,235,8897
569,8898-9130,233,9130
568,9131-9355,225,9355
567,9356-9593,238,9593
566,9594-9842,249,9842
565,9843-10080,238,10080
564,10081-10304,224,10304
563,10305-10552,248,10552
562,10553-10820,268,10820
561,10821-11074,254,11074
560,11075-11357,283,11357
559,11358-11639,282,11639
558,11640-11898,259,11898
557,11899-12188,290,12188
556,12189-12488,300,12488
555,12489-12806,318,12806
554,12807-13127,321,13127
553,13128-13417,290,13417
552,13418-13718,301,13718
551,13719-14026,308,14026
550,14027-14323,297,14323
549,14324-14629,306,14629
548,14630-14942,313,14942
547,14943-15294,352,15294
546,15295-15633,339,15633
545,15634-15991,358,15991
544,15992-16311,320,16311
543,16312-16640,329,16640
542,16641-16992,352,16992
541,16993-17325,333,17325
540,17326-17700,375,17700
539,17701-18046,346,18046
538,18047-18408,362,18408
537,18409-18812,404,18812
536,18813-19181,369,19181
535,19182-19535,354,19535
534,19536-19953,418,19953
533,19954-20345,392,20345
532,20346-20759,414,20759
531,20760-21154,395,21154
530,21155-21574,420,21574
529,21575-22015,441,22015
528,22016-22423,408,22423
527,22424-22884,461,22884
526,22885-23348,464,23348
525,23349-23796,448,23796
524,23797-24225,429,24225
523,24226-24643,418,24643
522,24644-25082,439,25082
521,25083-25522,440,25522
520,25523-26023,501,26023
519,26024-26517,494,26517
518,26518-26985,468,26985
517,26986-27432,447,27432
516,27433-27909,477,27909
515,27910-28357,448,28357
514,28358-28871,514,28871
513,28872-29359,488,29359
512,29360-29891,532,29891
511,29892-30399,508,30399
510,30400-30902,503,30902
509,30903-31441,539,31441
508,31442-31945,504,31945
507,31946-32471,526,32471
506,32472-32979,508,32979
505,32980-33555,576,33555
504,33556-34110,555,34110
503,34111-34652,542,34652
502,34653-35204,552,35204
501,35205-35768,564,35768
500,35769-36307,539,36307
499,36308-36864,557,36864
498,36865-37452,588,37452
497,37453-38010,558,38010
496,38011-38586,576,38586
495,38587-39205,619,39205
494,39206-39797,592,39797
493,39798-40387,590,40387
492,40388-41041,654,41041
491,41042-41686,645,41686
490,41687-42327,641,42327
489,42328-42919,592,42919
488,42920-43555,636,43555
487,43556-44201,646,44201
486,44202-44874,673,44874
485,44875-45560,686,45560
484,45561-46263,703,46263
483,46264-46937,674,46937
482,46938-47629,692,47629
481,47630-48295,666,48295
480,48296-48980,685,48980
479,48981-49687,707,49687
478,49688-50412,725,50412
477,50413-51119,707,51119
476,51120-51863,744,51863
475,51864-52537,674,52537
474,52538-53275,738,53275
473,53276-54001,726,54001
472,54002-54712,711,54712
471,54713-55406,694,55406
470,55407-56156,750,56156
469,56157-56856,700,56856
468,56857-57641,785,57641
467,57642-58421,780,58421
466,58422-59174,753,59174
465,59175-59911,737,59911
464,59912-60661,750,60661
463,60662-61434,773,61434
462,61435-62219,785,62219
461,62220-63026,807,63026
460,63027-63776,750,63776
459,63777-64588,812,64588
458,64589-65381,793,65381
457,65382-66127,746,66127
456,66128-66933,806,66933
455,66934-67719,786,67719
454,67720-68520,801,68520
453,68521-69267,747,69267
452,69268-70048,781,70048
451,70049-70822,774,70822
450,70823-71638,816,71638
449,71639-72434,796,72434
448,72435-73231,797,73231
447,73232-74039,808,74039
446,74040-74864,825,74864
445,74865-75668,804,75668
444,75669-76422,754,76422
443,76423-77276,854,77276
442,77277-78075,799,78075
441,78076-78904,829,78904
440,78905-79779,875,79779
439,79780-80589,810,80589
438,80590-81370,781,81370
437,81371-82132,762,82132
436,82133-82935,803,82935
435,82936-83710,775,83710
434,83711-84435,725,84435
433,84436-85227,792,85227
432,85228-85954,727,85954
431,85955-86746,792,86746
430,86747-87504,758,87504
429,87505-88265,761,88265
428,88266-89063,798,89063
427,89064-89880,817,89880
426,89881-90679,799,90679
425,90680-91460,781,91460
424,91461-92244,784,92244
423,92245-93003,759,93003
422,93004-93791,788,93791
421,93792-94581,790,94581
420,94582-95324,743,95324
419,95325-96109,785,96109
418,96110-96876,767,96876
417,96877-97639,763,97639
416,97640-98384,745,98384
415,98385-99117,733,99117
414,99118-99841,724,99841
413,99842-100573,732,100573
412,100574-101317,744,101317
411,101318-102034,717,102034
410,102035-102755,721,102755
409,102756-103465,710,103465
408,103466-104228,763,104228
407,104229-104937,709,104937
406,104938-105646,709,105646
405,105647-106364,718,106364
404,106365-107093,729,107093
403,107094-107825,732,107825
402,107826-108551,726,108551
401,108552-109214,663,109214
400,109215-109872,658,109872
399,109873-110522,650,110522
398,110523-111183,661,111183
397,111184-111865,682,111865
396,111866-112523,658,112523
395,112524-113198,675,113198
394,113199-113923,725,113923
393,113924-114567,644,114567
392,114568-115199,632,115199
391,115200-115770,571,115770
390,115771-116388,618,116388
389,116389-117014,626,117014
388,117015-117637,623,117637
387,117638-118237,600,118237
386,118238-118827,590,118827
385,118828-119426,599,119426
