分数,位次区间,同分人数,建议位次
697,1-10,10,10
696,11-13,3,13
695,13-13,0,13
694,14-17,4,17
693,18-21,4,21
692,21-21,0,21
691,22-23,2,23
690,24-25,2,25
689,26-29,4,29
688,30-33,4,33
687,34-44,11,44
686,45-48,4,48
685,49-50,2,50
684,51-57,7,57
683,58-66,9,66
682,67-76,10,76
681,77-88,12,88
680,89-102,14,102
679,103-115,13,115
678,116-132,17,132
677,133-147,15,147
676,148-167,20,167
675,168-183,16,183
674,184-202,19,202
673,203-226,24,226
672,227-242,16,242
671,243-271,29,271
670,272-292,21,292
669,293-316,24,316
668,317-341,25,341
667,342-369,28,369
666,370-396,27,396
665,397-436,40,436
664,437-477,41,477
663,478-505,28,505
662,506-549,44,549
661,550-575,26,575
660,576-613,38,613
659,614-664,51,664
658,665-716,52,716
657,717-769,53,769
656,770-809,40,809
655,810-861,52,861
654,862-928,67,928
653,929-986,58,986
652,987-1036,50,1036
651,1037-1100,64,1100
650,1101-1167,67,1167
649,1168-1240,73,1240
648,1241-1320,80,1320
647,1321-1409,89,1409
646,1410-1485,76,1485
645,1486-1554,69,1554
644,1555-1635,81,1635
643,1636-1724,89,1724
642,1725-1808,84,1808
641,1809-1908,100,1908
640,1909-2021,113,2021
639,2022-2127,106,2127
638,2128-2217,90,2217
637,2218-2311,94,2311
636,2312-2409,98,2409
635,2410-2521,112,2521
634,2522-2630,109,2630
633,2631-2732,102,2732
632,2733-2849,117,2849
631,2850-2970,121,2970
630,2971-3106,136,3106
629,3107-3233,127,3233
628,3234-3378,145,3378
627,3379-3521,143,3521
626,3522-3673,152,3673
625,3674-3814,141,3814
624,3815-3975,161,3975
623,3976-4126,151,4126
622,4127-4279,153,4279
621,4280-4444,165,4444
620,4445-4602,158,4602
619,4603-4787,185,4787
618,4788-4963,176,4963
617,4964-5127,164,5127
616,5128-5300,173,5300
615,5301-5506,206,5506
614,5507-5697,191,5697
613,5698-5862,165,5862
612,5863-6045,183,6045
611,6046-6256,211,6256
610,6257-6459,203,6459
609,6460-6651,192,6651
608,6652-6848,197,6848
607,6849-7108,260,7108
606,7109-7297,189,7297
605,7298-7526,229,7526
604,7527-7732,206,7732
603,7733-7959,227,7959
602,7960-8209,250,8209
601,8210-8413,204,8413
600,8414-8642,229,8642
599,8643-8897,255,8897
598,8898-9154,257,9154
597,9155-9406,252,9406
596,9407-9664,258,9664
595,9665-9922,258,9922
594,9923-10195,273,10195
593,10196-10494,299,10494
592,10495-10769,275,10769
591,10770-11046,277,11046
590,11047-11306,260,11306
589,11307-11601,295,11601
588,11602-11877,276,11877
587,11878-12169,292,12169
586,12170-12468,299,12468
585,12469-12778,310,12778
584,12779-13060,282,13060
583,13061-13372,312,13372
582,13373-13696,324,13696
581,13697-14021,325,14021
580,14022-14345,324,14345
579,14346-14665,320,14665
578,14666-15003,338,15003
577,15004-15354,351,15354
576,15355-15710,356,15710
575,15711-16079,369,16079
574,16080-16418,339,16418
573,16419-16773,355,16773
572,16774-17186,413,17186
571,17187-17533,347,17533
570,17534-17923,390,17923
569,17924-18259,336,18259
568,18260-18678,419,18678
567,18679-19043,365,19043
566,19044-19448,405,19448
565,19449-19843,395,19843
564,19844-20253,410,20253
563,20254-20665,412,20665
562,20666-21068,403,21068
561,21069-21508,440,21508
560,21509-21956,448,21956
559,21957-22377,421,22377
558,22378-22821,444,22821
557,22822-23233,412,23233
556,23234-23655,422,23655
555,23656-24135,480,24135
554,24136-24556,421,24556
553,24557-25019,463,25019
552,25020-25489,470,25489
551,25490-25963,474,25963
550,25964-26417,454,26417
549,26418-26908,491,26908
548,26909-27361,453,27361
547,27362-27831,470,27831
546,27832-28302,471,28302
545,28303-28786,484,28786
544,28787-29256,470,29256
543,29257-29774,518,29774
542,29775-30271,497,30271
541,30272-30770,499,30770
540,30771-31255,485,31255
539,31256-31797,542,31797
538,31798-32357,560,32357
537,32358-32871,514,32871
536,32872-33399,528,33399
535,33400-33922,523,33922
534,33923-34443,521,34443
533,34444-34991,548,34991
532,34992-35574,583,35574
531,35575-36110,536,36110
530,36111-36659,549,36659
529,36660-37196,537,37196
528,37197-37760,564,37760
527,37761-38294,534,38294
526,38295-38866,572,38866
525,38867-39437,571,39437
524,39438-40065,628,40065
523,40066-40625,560,40625
522,40626-41195,570,41195
521,41196-41791,596,41791
520,41792-42370,579,42370
519,42371-42950,580,42950
518,42951-43586,636,43586
517,43587-44179,593,44179
