分数,位次区间,同分人数,建议位次
442,48580-48900,321,48900
441,48901-49243,343,49243
440,49244-49580,337,49580
439,49581-49937,357,49937
438,49938-50249,312,50249
437,50250-50577,328,50577
436,50578-50942,365,50942
435,50943-51281,339,51281
434,51282-51639,358,51639
433,51640-51992,353,51992
432,51993-52317,325,52317
431,52318-52653,336,52653
430,52654-52962,309,52962
429,52963-53331,369,53331
428,53332-53691,360,53691
427,53692-54028,337,54028
426,54029-54370,342,54370
425,54371-54689,319,54689
424,54690-55044,355,55044
423,55045-55420,376,55420
422,55421-55774,354,55774
421,55775-56138,364,56138
420,56139-56472,334,56472
419,56473-56833,361,56833
418,56834-57156,323,57156
417,57157-57508,352,57508
416,57509-57857,349,57857
415,57858-58208,351,58208
414,58209-58557,349,58557
413,58558-58900,343,58900
412,58901-59222,322,59222
411,59223-59558,336,59558
410,59559-59920,362,59920
409,59921-60265,345,60265
408,60266-60593,328,60593
407,60594-60914,321,60914
406,60915-61269,355,61269
405,61270-61605,336,61605
404,61606-61945,340,61945
403,61946-62275,330,62275
402,62276-62632,357,62632
401,62633-62951,319,62951
400,62952-63313,362,63313
399,63314-63655,342,63655
398,63656-63991,336,63991
397,63992-64311,320,64311
396,64312-64660,349,64660
395,64661-64984,324,64984
394,64985-65308,324,65308
393,65309-65632,324,65632
392,65633-65966,334,65966
391,65967-66299,333,66299
390,66300-66599,300,66599
389,66600-66938,339,66938
388,66939-67284,346,67284
387,67285-67605,321,67605
386,67606-67925,320,67925
385,67926-68228,303,68228
384,68229-68540,312,68540
383,68541-68871,331,68871
382,68872-69195,324,69195
381,69196-69506,311,69506
380,69507-69817,311,69817
379,69818-70134,317,70134
378,70135-70416,282,70416
377,70417-70716,300,70716
376,70717-71042,326,71042
375,71043-71369,327,71369
374,71370-71645,276,71645
373,71646-71953,308,71953
372,71954-72249,296,72249
371,72250-72540,291,72540
370,72541-72835,295,72835
369,72836-73137,302,73137
368,73138-73466,329,73466
367,73467-73777,311,73777
366,73778-74063,286,74063
365,74064-74339,276,74339
364,74340-74671,332,74671
363,74672-75005,334,75005
362,75006-75297,292,75297
361,75298-75597,300,75597
360,75598-75868,271,75868
359,75869-76143,275,76143
358,76144-76413,270,76413
357,76414-76695,282,76695
356,76696-77010,315,77010
355,77011-77301,291,77301
354,77302-77612,311,77612
353,77613-77898,286,77898
352,77899-78190,292,78190
351,78191-78467,277,78467
350,78468-78739,272,78739
349,78740-79033,294,79033
348,79034-79348,315,79348
347,79349-79634,286,79634
346,79635-79897,263,79897
345,79898-80164,267,80164
344,80165-80427,263,80427
343,80428-80674,247,80674
342,80675-80932,258,80932
341,80933-81219,287,81219
340,81220-81483,264,81483
339,81484-81744,261,81744
338,81745-82024,280,82024
337,82025-82311,287,82311
336,82312-82557,246,82557
335,82558-82821,264,82821
334,82822-83053,232,83053
333,83054-83304,251,83304
332,83305-83556,252,83556
331,83557-83822,266,83822
330,83823-84097,275,84097
329,84098-84359,262,84359
328,84360-84597,238,84597
327,84598-84860,263,84860
326,84861-85100,240,85100
325,85101-85355,255,85355
324,85356-85606,251,85606
323,85607-85853,247,85853
322,85854-86144,291,86144
321,86145-86399,255,86399
320,86400-86657,258,86657
319,86658-86894,237,86894
318,86895-87161,267,87161
317,87162-87449,288,87449
316,87450-87673,224,87673
315,87674-87911,238,87911
314,87912-88142,231,88142
313,88143-88406,264,88406
312,88407-88681,275,88681
311,88682-88904,223,88904
310,88905-89141,237,89141
309,89142-89350,209,89350
308,89351-89597,247,89597
307,89598-89807,210,89807
306,89808-90041,234,90041
305,90042-90278,237,90278
304,90279-90520,242,90520
303,90521-90749,229,90749
302,90750-90968,219,90968
301,90969-91214,246,91214
300,91215-91397,183,91397
299,91398-91627,230,91627
298,91628-91861,234,91861
297,91862-92096,235,92096
296,92097-92317,221,92317
295,92318-92540,223,92540
294,92541-92794,254,92794
293,92795-93008,214,93008
292,93009-93253,245,93253
291,93254-93447,194,93447
290,93448-93630,183,93630
289,93631-93847,217,93847
288,93848-94051,204,94051
287,94052-94251,200,94251
286,94252-94463,212,94463
285,94464-94689,226,94689
284,94690-94923,234,94923
283,94924-95142,219,95142
282,95143-95343,201,95343
281,95344-95551,208,95551
280,95552-95753,202,95753
279,95754-95957,204,95957
278,95958-96151,194,96151
277,96152-96359,208,96359
276,96360-96554,195,96554
275,96555-96748,194,96748
274,96749-96919,171,96919
273,96920-97121,202,97121
272,97122-97308,187,97308
271,97309-97492,184,97492
270,97493-97655,163,97655
269,97656-97831,176,97831
268,97832-97991,160,97991
267,97992-98168,177,98168
266,98169-98339,171,98339
265,98340-98521,182,98521
264,98522-98723,202,98723
263,98724-98905,182,98905
262,98906-99097,192,99097
261,99098-99252,155,99252
260,99253-99428,176,99428
259,99429-99627,199,99627
258,99628-99800,173,99800
257,99801-99983,183,99983
256,99984-100151,168,100151
255,100152-100319,168,100319
254,100320-100493,174,100493
253,100494-100664,171,100664
252,100665-100821,157,100821
251,100822-100987,166,100987
250,100988-101153,166,101153
249,101154-101312,159,101312
248,101313-101450,138,101450
247,101451-101606,156,101606
246,101607-101757,151,101757
245,101758-101920,163,101920
244,101921-102068,148,102068
243,102069-102197,129,102197
242,102198-102375,178,102375
241,102376-102508,133,102508
240,102509-102685,177,102685
239,102686-102833,148,102833
238,102834-102995,162,102995
237,102996-103127,132,103127
236,103128-103289,162,103289
235,103290-103440,151,103440
234,103441-103579,139,103579
233,103580-103716,137,103716
232,103717-103865,149,103865
231,103866-103983,118,103983
230,103984-104103,120,104103
229,104104-104234,131,104234
228,104235-104354,120,104354
227,104355-104469,115,104469
226,104470-104607,138,104607
225,104608-104736,129,104736
224,104737-104863,127,104863
223,104864-104993,130,104993
222,104994-105095,102,105095
221,105096-105204,109,105204
220,105205-105320,116,105320
219,105321-105426,106,105426
218,105427-105539,113,105539
217,105540-105675,136,105675
216,105676-105789,114,105789
215,105790-105904,115,105904
214,105905-106002,98,106002
213,106003-106109,107,106109
212,106110-106229,120,106229
211,106230-106323,94,106323
210,106324-106426,103,106426
209,106427-106532,106,106532
208,106533-106629,97,106629
207,106630-106740,111,106740
206,106741-106826,86,106826
205,106827-106915,89,106915
204,106916-106997,82,106997
203,106998-107094,97,107094
202,107095-107162,68,107162
201,107163-107250,88,107250
200,107251-107321,71,107321
199,107322-107400,79,107400
198,107401-107483,83,107483
197,107484-107553,70,107553
196,107554-107621,68,107621
195,107622-107707,86,107707
194,107708-107787,80,107787
193,107788-107869,82,107869
192,107870-107935,66,107935
191,107936-108008,73,108008
190,108009-108088,80,108088
189,108089-108152,64,108152
188,108153-108218,66,108218
187,108219-108283,65,108283
186,108284-108363,80,108363
185,108364-108432,69,108432
184,108433-108495,63,108495
183,108496-108564,69,108564
182,108565-108614,50,108614
181,108615-108680,66,108680
180,108681-108733,53,108733
179,108734-108788,55,108788
178,108789-108837,49,108837
177,108838-108891,54,108891
176,108892-108939,48,108939
175,108940-108987,48,108987
174,108988-109030,43,109030
173,109031-109087,57,109087
172,109088-109134,47,109134
171,109135-109175,41,109175
170,109176-109218,43,109218
169,109219-109263,45,109263
168,109264-109299,36,109299
167,109300-109333,34,109333
166,109334-109366,33,109366
165,109367-109403,37,109403
164,109404-109440,37,109440
163,109441-109469,29,109469
162,109470-109513,44,109513
161,109514-109550,37,109550
160,109551-109582,32,109582
159,109583-109611,29,109611
158,109612-109639,28,109639
157,109640-109670,31,109670
156,109671-109704,34,109704
155,109705-109739,35,109739
154,109740-109760,21,109760
153,109761-109793,33,109793
152,109794-109816,23,109816
151,109817-109838,22,109838
150,109839-109863,25,109863
149,109864-109882,19,109882
148,109883-109898,16,109898
147,109899-109925,27,109925
146,109926-109940,15,109940
145,109941-109954,14,109954
144,109955-109977,23,109977
143,109978-109991,14,109991
142,109992-110010,19,110010
141,110011-110031,21,110031
140,110032-110048,17,110048
139,110049-110060,12,110060
138,110061-110073,13,110073
137,110074-110091,18,110091
136,110092-110110,19,110110
135,110111-110121,11,110121
134,110122-110130,9,110130
