分数,位次区间,同分人数,建议位次
703,1-18,18,18
702,19-21,3,21
701,22-23,2,23
700,24-27,4,27
699,28-34,7,34
698,35-36,2,36
697,37-43,7,43
696,44-51,8,51
695,52-54,3,54
694,55-61,7,61
693,62-74,13,74
692,75-78,4,78
691,79-89,11,89
690,90-103,14,103
689,104-116,13,116
688,117-131,15,131
687,132-142,11,142
686,143-165,23,165
685,166-190,25,190
684,191-219,29,219
683,220-236,17,236
682,237-260,24,260
681,261-289,29,289
680,290-325,36,325
679,326-349,24,349
678,350-391,42,391
677,392-427,36,427
676,428-464,37,464
675,465-504,40,504
674,505-544,40,544
673,545-588,44,588
672,589-634,46,634
671,635-681,47,681
670,682-729,48,729
669,730-782,53,782
668,783-847,65,847
667,848-906,59,906
666,907-968,62,968
665,969-1027,59,1027
664,1028-1093,66,1093
663,1094-1179,86,1179
662,1180-1266,87,1266
661,1267-1355,89,1355
660,1356-1436,81,1436
659,1437-1529,93,1529
658,1530-1626,97,1626
657,1627-1736,110,1736
656,1737-1840,104,1840
655,1841-1925,85,1925
654,1926-2032,107,2032
653,2033-2144,112,2144
652,2145-2260,116,2260
651,2261-2378,118,2378
650,2379-2531,153,2531
649,2532-2680,149,2680
648,2681-2792,112,2792
647,2793-2941,149,2941
646,2942-3121,180,3121
645,3122-3271,150,3271
644,3272-3444,173,3444
643,3445-3612,168,3612
642,3613-3783,171,3783
641,3784-3969,186,3969
640,3970-4145,176,4145
639,4146-4320,175,4320
638,4321-4514,194,4514
637,4515-4722,208,4722
636,4723-4920,198,4920
635,4921-5141,221,5141
634,5142-5361,220,5361
633,5362-5579,218,5579
632,5580-5834,255,5834
631,5835-6064,230,6064
630,6065-6333,269,6333
629,6334-6594,261,6594
628,6595-6846,252,6846
627,6847-7112,266,7112
626,7113-7347,235,7347
625,7348-7605,258,7605
624,7606-7890,285,7890
623,7891-8135,245,8135
622,8136-8419,284,8419
621,8420-8689,270,8689
620,8690-9000,311,9000
619,9001-9344,344,9344
618,9345-9672,328,9672
617,9673-9996,324,9996
