分数,位次区间,同分人数,建议位次
677,1-17,17,17
676,18-19,2,19
675,20-22,3,22
674,23-27,5,27
673,28-28,1,28
672,29-32,4,32
671,33-33,1,33
670,34-35,2,35
669,36-38,3,38
668,39-41,3,41
667,42-43,2,43
666,44-45,2,45
665,46-53,8,53
664,54-54,1,54
663,55-56,2,56
662,57-59,3,59
661,60-63,4,63
660,64-64,1,64
659,65-69,5,69
658,70-80,11,80
657,81-85,5,85
656,86-95,10,95
655,96-107,12,107
654,108-113,6,113
653,114-116,3,116
652,117-129,13,129
651,130-136,7,136
650,137-147,11,147
649,148-159,12,159
648,160-166,7,166
647,167-169,3,169
646,170-176,7,176
645,177-184,8,184
644,185-199,15,199
643,200-208,9,208
642,209-224,16,224
641,225-237,13,237
640,238-254,17,254
639,255-271,17,271
638,272-284,13,284
637,285-304,20,304
636,305-330,26,330
635,331-344,14,344
634,345-368,24,368
633,369-390,22,390
632,391-407,17,407
631,408-423,16,423
630,424-450,27,450
629,451-467,17,467
628,468-490,23,490
627,491-522,32,522
626,523-547,25,547
625,548-578,31,578
624,579-597,19,597
623,598-627,30,627
622,628-657,30,657
621,658-681,24,681
620,682-701,20,701
619,702-731,30,731
618,732-761,30,761
617,762-801,40,801
616,802-824,23,824
615,825-869,45,869
614,870-898,29,898
613,899-936,38,936
612,937-965,29,965
611,966-991,26,991
610,992-1037,46,1037
609,1038-1077,40,1077
608,1078-1108,31,1108
607,1109-1142,34,1142
606,1143-1191,49,1191
605,1192-1244,53,1244
604,1245-1296,52,1296
603,1297-1355,59,1355
602,1356-1412,57,1412
601,1413-1473,61,1473
600,1474-1530,57,1530
599,1531-1584,54,1584
598,1585-1636,52,1636
597,1637-1701,65,1701
596,1702-1751,50,1751
595,1752-1814,63,1814
594,1815-1880,66,1880
593,1881-1925,45,1925
592,1926-1993,68,1993
591,1994-2062,69,2062
590,2063-2123,61,2123
589,2124-2199,76,2199
588,2200-2259,60,2259
587,2260-2320,61,2320
586,2321-2401,81,2401
585,2402-2477,76,2477
584,2478-2564,87,2564
583,2565-2633,69,2633
582,2634-2721,88,2721
581,2722-2810,89,2810
580,2811-2898,88,2898
579,2899-2974,76,2974
578,2975-3067,93,3067
577,3068-3152,85,3152
576,3153-3242,90,3242
575,3243-3330,88,3330
574,3331-3417,87,3417
573,3418-3512,95,3512
572,3513-3617,105,3617
571,3618-3711,94,3711
570,3712-3825,114,3825
569,3826-3939,114,3939
568,3940-4042,103,4042
567,4043-4159,117,4159
566,4160-4276,117,4276
565,4277-4393,117,4393
564,4394-4490,97,4490
563,4491-4608,118,4608
562,4609-4717,109,4717
561,4718-4826,109,4826
560,4827-4945,119,4945
559,4946-5051,106,5051
558,5052-5170,119,5170
557,5171-5297,127,5297
556,5298-5432,135,5432
555,5433-5563,131,5563
554,5564-5706,143,5706
553,5707-5838,132,5838
552,5839-5983,145,5983
551,5984-6114,131,6114
550,6115-6273,159,6273
549,6274-6421,148,6421
548,6422-6589,168,6589
547,6590-6756,167,6756
546,6757-6895,139,6895
545,6896-7042,147,7042
544,7043-7181,139,7181
543,7182-7356,175,7356
542,7357-7509,153,7509
541,7510-7693,184,7693
540,7694-7869,176,7869
539,7870-8038,169,8038
538,8039-8215,177,8215
537,8216-8382,167,8382
536,8383-8553,171,8553
535,8554-8722,169,8722
534,8723-8901,179,8901
