分数,位次区间,同分人数,建议位次
705,1-10,10,10
704,11-11,1,11
703,12-14,3,14
702,15-18,4,18
701,19-20,2,20
700,21-25,5,25
699,26-31,6,31
698,32-35,4,35
697,36-47,12,47
696,48-55,8,55
695,56-62,7,62
694,63-69,7,69
693,70-81,12,81
692,82-89,8,89
691,90-99,10,99
690,100-120,21,120
689,121-138,18,138
688,139-150,12,150
687,151-166,16,166
686,167-179,13,179
685,180-198,19,198
684,199-220,22,220
683,221-242,22,242
682,243-263,21,263
681,264-283,20,283
680,284-316,33,316
679,317-350,34,350
678,351-383,33,383
677,384-429,46,429
676,430-458,29,458
675,459-491,33,491
674,492-532,41,532
673,533-571,39,571
672,572-610,39,610
671,611-650,40,650
670,651-691,41,691
669,692-746,55,746
668,747-798,52,798
667,799-858,60,858
666,859-913,55,913
665,914-984,71,984
664,985-1041,57,1041
663,1042-1102,61,1102
662,1103-1161,59,1161
661,1162-1234,73,1234
660,1235-1307,73,1307
659,1308-1382,75,1382
658,1383-1446,64,1446
657,1447-1516,70,1516
656,1517-1593,77,1593
655,1594-1686,93,1686
654,1687-1767,81,1767
653,1768-1844,77,1844
652,1845-1946,102,1946
651,1947-2028,82,2028
650,2029-2122,94,2122
649,2123-2200,78,2200
648,2201-2301,101,2301
647,2302-2382,81,2382
646,2383-2479,97,2479
645,2480-2580,101,2580
644,2581-2693,113,2693
643,2694-2791,98,2791
642,2792-2911,120,2911
641,2912-3014,103,3014
640,3015-3126,112,3126
639,3127-3248,122,3248
638,3249-3361,113,3361
637,3362-3485,124,3485
636,3486-3623,138,3623
635,3624-3764,141,3764
634,3765-3910,146,3910
633,3911-4046,136,4046
632,4047-4176,130,4176
631,4177-4341,165,4341
630,4342-4464,123,4464
629,4465-4595,131,4595
628,4596-4750,155,4750
627,4751-4900,150,4900
626,4901-5047,147,5047
625,5048-5176,129,5176
624,5177-5325,149,5325
623,5326-5475,150,5475
622,5476-5635,160,5635
621,5636-5781,146,5781
620,5782-5963,182,5963
619,5964-6133,170,6133
618,6134-6310,177,6310
617,6311-6522,212,6522
616,6523-6697,175,6697
615,6698-6887,190,6887
614,6888-7062,175,7062
613,7063-7237,175,7237
612,7238-7422,185,7422
611,7423-7651,229,7651
610,7652-7839,188,7839
609,7840-8028,189,8028
608,8029-8208,180,8208
607,8209-8410,202,8410
606,8411-8606,196,8606
605,8607-8789,183,8789
604,8790-8988,199,8988
603,8989-9188,200,9188
602,9189-9396,208,9396
601,9397-9626,230,9626
600,9627-9846,220,9846
599,9847-10090,244,10090
598,10091-10322,232,10322
597,10323-10556,234,10556
596,10557-10761,205,10761
595,10762-10983,222,10983
594,10984-11197,214,11197
593,11198-11451,254,11451
592,11452-11714,263,11714
591,11715-11941,227,11941
590,11942-12174,233,12174
589,12175-12401,227,12401
588,12402-12617,216,12617
587,12618-12869,252,12869
586,12870-13131,262,13131
585,13132-13370,239,13370
584,13371-13610,240,13610
583,13611-13878,268,13878
582,13879-14167,289,14167
581,14168-14434,267,14434
580,14435-14711,277,14711
579,14712-14973,262,14973
578,14974-15266,293,15266
577,15267-15509,243,15509
576,15510-15743,234,15743
575,15744-16020,277,16020
574,16021-16288,268,16288
573,16289-16558,270,16558
572,16559-16836,278,16836
571,16837-17103,267,17103
570,17104-17349,246,17349
569,17350-17659,310,17659
