分数,位次区间,同分人数,建议位次
700,1-106,106,106
699,107-124,18,124
698,125-137,13,137
697,138-152,15,152
696,153-173,21,173
695,174-194,21,194
694,195-216,22,216
693,217-241,25,241
692,242-261,20,261
691,262-288,27,288
690,289-317,29,317
689,318-350,33,350
688,351-390,40,390
687,391-416,26,416
686,417-455,39,455
685,456-491,36,491
684,492-522,31,522
683,523-564,42,564
682,565-594,30,594
681,595-636,42,636
680,637-667,31,667
679,668-712,45,712
678,713-761,49,761
677,762-807,46,807
676,808-857,50,857
675,858-908,51,908
674,909-966,58,966
673,967-1018,52,1018
672,1019-1071,53,1071
671,1072-1132,61,1132
670,1133-1207,75,1207
669,1208-1278,71,1278
668,1279-1341,63,1341
667,1342-1406,65,1406
666,1407-1455,49,1455
665,1456-1526,71,1526
664,1527-1587,61,1587
663,1588-1654,67,1654
662,1655-1723,69,1723
661,1724-1797,74,1797
660,1798-1871,74,1871
659,1872-1944,73,1944
658,1945-2033,89,2033
657,2034-2126,93,2126
656,2127-2202,76,2202
655,2203-2297,95,2297
654,2298-2375,78,2375
653,2376-2465,90,2465
652,2466-2546,81,2546
651,2547-2646,100,2646
650,2647-2744,98,2744
649,2745-2850,106,2850
648,2851-2940,90,2940
647,2941-3036,96,3036
646,3037-3136,100,3136
645,3137-3241,105,3241
644,3242-3336,95,3336
643,3337-3428,92,3428
642,3429-3533,105,3533
641,3534-3643,110,3643
640,3644-3765,122,3765
639,3766-3881,116,3881
638,3882-3984,103,3984
637,3985-4078,94,4078
636,4079-4186,108,4186
635,4187-4288,102,4288
634,4289-4400,112,4400
633,4401-4511,111,4511
632,4512-4629,118,4629
631,4630-4761,132,4761
630,4762-4857,96,4857
629,4858-4964,107,4964
628,4965-5063,99,5063
627,5064-5172,109,5172
626,5173-5280,108,5280
625,5281-5408,128,5408
624,5409-5530,122,5530
623,5531-5653,123,5653
622,5654-5775,122,5775
621,5776-5887,112,5887
620,5888-5999,112,5999
619,6000-6115,116,6115
618,6116-6248,133,6248
617,6249-6380,132,6380
616,6381-6509,129,6509
615,6510-6652,143,6652
614,6653-6780,128,6780
613,6781-6912,132,6912
612,6913-7030,118,7030
611,7031-7169,139,7169
610,7170-7296,127,7296
609,7297-7421,125,7421
608,7422-7567,146,7567
607,7568-7704,137,7704
606,7705-7851,147,7851
605,7852-7981,130,7981
604,7982-8125,144,8125
603,8126-8264,139,8264
602,8265-8398,134,8398
601,8399-8528,130,8528
600,8529-8671,143,8671
599,8672-8799,128,8799
598,8800-8957,158,8957
597,8958-9101,144,9101
596,9102-9260,159,9260
595,9261-9405,145,9405
594,9406-9542,137,9542
593,9543-9695,153,9695
592,9696-9842,147,9842
591,9843-9990,148,9990
590,9991-10139,149,10139
589,10140-10295,156,10295
