分数,位次区间,同分人数,建议位次
663,1-106,106,106
662,107-111,5,111
661,112-120,9,120
660,121-129,9,129
659,130-138,9,138
658,139-148,10,148
657,149-163,15,163
656,164-168,5,168
655,169-180,12,180
654,181-194,14,194
653,195-209,15,209
652,210-220,11,220
651,221-237,17,237
650,238-250,13,250
649,251-261,11,261
648,262-270,9,270
647,271-288,18,288
646,289-300,12,300
645,301-314,14,314
644,315-338,24,338
643,339-348,10,348
642,349-366,18,366
641,367-385,19,385
640,386-397,12,397
639,398-411,14,411
638,412-440,29,440
637,441-458,18,458
636,459-471,13,471
635,472-493,22,493
634,494-515,22,515
633,516-539,24,539
632,540-563,24,563
631,564-584,21,584
630,585-616,32,616
629,617-646,30,646
628,647-676,30,676
627,677-703,27,703
626,704-724,21,724
625,725-757,33,757
624,758-792,35,792
623,793-822,30,822
622,823-856,34,856
621,857-898,42,898
620,899-924,26,924
619,925-954,30,954
618,955-997,43,997
617,998-1034,37,1034
616,1035-1063,29,1063
615,1064-1100,37,1100
614,1101-1145,45,1145
613,1146-1182,37,1182
612,1183-1228,46,1228
611,1229-1266,38,1266
610,1267-1312,46,1312
609,1313-1370,58,1370
608,1371-1428,58,1428
607,1429-1475,47,1475
606,1476-1532,57,1532
605,1533-1584,52,1584
604,1585-1639,55,1639
603,1640-1718,79,1718
602,1719-1775,57,1775
601,1776-1835,60,1835
600,1836-1894,59,1894
599,1895-1954,60,1954
598,1955-2042,88,2042
597,2043-2122,80,2122
596,2123-2185,63,2185
595,2186-2254,69,2254
594,2255-2331,77,2331
593,2332-2414,83,2414
592,2415-2480,66,2480
591,2481-2557,77,2557
590,2558-2642,85,2642
589,2643-2730,88,2730
588,2731-2807,77,2807
587,2808-2892,85,2892
586,2893-2980,88,2980
585,2981-3067,87,3067
584,3068-3134,67,3134
583,3135-3214,80,3214
582,3215-3303,89,3303
581,3304-3419,116,3419
580,3420-3521,102,3521
579,3522-3596,75,3596
578,3597-3687,91,3687
577,3688-3798,111,3798
576,3799-3908,110,3908
575,3909-3993,85,3993
574,3994-4102,109,4102
573,4103-4207,105,4207
572,4208-4298,91,4298
571,4299-4403,105,4403
570,4404-4510,107,4510
569,4511-4626,116,4626
568,4627-4735,109,4735
567,4736-4852,117,4852
566,4853-4963,111,4963
565,4964-5084,121,5084
564,5085-5218,134,5218
563,5219-5343,125,5343
562,5344-5469,126,5469
561,5470-5598,129,5598
560,5599-5728,130,5728
559,5729-5841,113,5841
558,5842-5982,141,5982
557,5983-6136,154,6136
556,6137-6303,167,6303
555,6304-6444,141,6444
554,6445-6591,147,6591
