分数,位次区间,同分人数,建议位次
611,1-52,52,52
610,53-62,10,62
609,63-75,13,75
608,76-88,13,88
607,89-106,18,106
606,107-117,11,117
605,118-140,23,140
604,141-165,25,165
603,166-173,8,173
602,174-198,25,198
601,199-218,20,218
600,219-250,32,250
599,251-279,29,279
598,280-304,25,304
597,305-326,22,326
596,327-361,35,361
595,362-400,39,400
594,401-430,30,430
593,431-469,39,469
592,470-511,42,511
591,512-560,49,560
590,561-607,47,607
589,608-657,50,657
588,658-714,57,714
587,715-771,57,771
586,772-827,56,827
585,828-886,59,886
584,887-965,79,965
583,966-1036,71,1036
582,1037-1118,82,1118
581,1119-1194,76,1194
580,1195-1293,99,1293
579,1294-1388,95,1388
578,1389-1474,86,1474
577,1475-1549,75,1549
576,1550-1637,88,1637
575,1638-1724,87,1724
574,1725-1837,113,1837
573,1838-1922,85,1922
572,1923-2045,123,2045
571,2046-2153,108,2153
570,2154-2262,109,2262
569,2263-2361,99,2361
568,2362-2460,99,2460
567,2461-2560,100,2560
566,2561-2678,118,2678
565,2679-2805,127,2805
564,2806-2909,104,2909
563,2910-3049,140,3049
562,3050-3166,117,3166
561,3167-3310,144,3310
560,3311-3454,144,3454
559,3455-3607,153,3607
558,3608-3775,168,3775
557,3776-3925,150,3925
556,3926-4101,176,4101
555,4102-4247,146,4247
554,4248-4403,156,4403
553,4404-4558,155,4558
552,4559-4737,179,4737
551,4738-4912,175,4912
550,4913-5077,165,5077
549,5078-5249,172,5249
548,5250-5427,178,5427
547,5428-5590,163,5590
546,5591-5776,186,5776
545,5777-5947,171,5947
544,5948-6112,165,6112
543,6113-6293,181,6293
542,6294-6488,195,6488
541,6489-6709,221,6709
540,6710-6893,184,6893
539,6894-7072,179,7072
538,7073-7268,196,7268
537,7269-7446,178,7446
536,7447-7637,191,7637
535,7638-7835,198,7835
534,7836-8045,210,8045
533,8046-8275,230,8275
532,8276-8480,205,8480
531,8481-8698,218,8698
530,8699-8909,211,8909
529,8910-9114,205,9114
528,9115-9329,215,9329
527,9330-9550,221,9550
526,9551-9751,201,9751
525,9752-9975,224,9975
524,9976-10230,255,10230
523,10231-10431,201,10431
522,10432-10666,235,10666
521,10667-10879,213,10879
520,10880-11077,198,11077
519,11078-11315,238,11315
518,11316-11557,242,11557
517,11558-11759,202,11759
516,11760-11954,195,11954
515,11955-12178,224,12178
514,12179-12398,220,12398
513,12399-12615,217,12615
512,12616-12824,209,12824
511,12825-13064,240,13064
510,13065-13263,199,13263
509,13264-13496,233,13496
508,13497-13727,231,13727
507,13728-13960,233,13960
506,13961-14212,252,14212
505,14213-14446,234,14446
504,14447-14678,232,14678
503,14679-14917,239,14917
502,14918-15145,228,15145
501,15146-15358,213,15358
500,15359-15579,221,15579
499,15580-15827,248,15827
498,15828-16055,228,16055
497,16056-16300,245,16300
496,16301-16514,214,16514
495,16515-16741,227,16741
494,16742-16961,220,16961
493,16962-17207,246,17207
492,17208-17440,233,17440
491,17441-17678,238,17678
490,17679-17893,215,17893
489,17894-18122,229,18122
488,18123-18373,251,18373
487,18374-18646,273,18646
486,18647-18903,257,18903
485,18904-19146,243,19146
484,19147-19402,256,19402
483,19403-19637,235,19637
482,19638-19873,236,19873
481,19874-20102,229,20102
480,20103-20370,268,20370
479,20371-20616,246,20616
478,20617-20868,252,20868
477,20869-21099,231,21099
476,21100-21359,260,21359
475,21360-21577,218,21577
474,21578-21824,247,21824
473,21825-22058,234,22058
472,22059-22305,247,22305
471,22306-22555,250,22555
470,22556-22810,255,22810
469,22811-23016,206,23016
468,23017-23221,205,23221
467,23222-23446,225,23446
466,23447-23646,200,23646
465,23647-23864,218,23864
464,23865-24090,226,24090
463,24091-24300,210,24300
462,24301-24521,221,24521
461,24522-24759,238,24759
460,24760-24994,235,24994
459,24995-25189,195,25189
458,25190-25407,218,25407
457,25408-25665,258,25665
456,25666-25901,236,25901
455,25902-26117,216,26117
454,26118-26319,202,26319
453,26320-26575,256,26575
452,26576-26776,201,26776
451,26777-26988,212,26988
450,26989-27191,203,27191
449,27192-27408,217,27408
448,27409-27625,217,27625
447,27626-27835,210,27835
446,27836-28039,204,28039
445,28040-28220,181,28220
444,28221-28438,218,28438
443,28439-28629,191,28629
442,28630-28823,194,28823
441,28824-29042,219,29042
440,29043-29248,206,29248
439,29249-29465,217,29465
438,29466-29664,199,29664
437,29665-29881,217,29881
436,29882-30103,222,30103
435,30104-30320,217,30320
434,30321-30520,200,30520
433,30521-30723,203,30723
432,30724-30896,173,30896
431,30897-31075,179,31075
430,31076-31248,173,31248
429,31249-31431,183,31431
428,31432-31609,178,31609
427,31610-31801,192,31801
426,31802-31968,167,31968
425,31969-32154,186,32154
424,32155-32338,184,32338
423,32339-32523,185,32523
422,32524-32698,175,32698
421,32699-32868,170,32868
420,32869-33055,187,33055
419,33056-33254,199,33254
418,33255-33438,184,33438
417,33439-33593,155,33593
416,33594-33768,175,33768
415,33769-33931,163,33931
414,33932-34099,168,34099
413,34100-34282,183,34282
412,34283-34430,148,34430
411,34431-34599,169,34599
410,34600-34767,168,34767
409,34768-34945,178,34945
408,34946-35116,171,35116
407,35117-35287,171,35287
406,35288-35458,171,35458
405,35459-35656,198,35656
404,35657-35821,165,35821
403,35822-36005,184,36005
402,36006-36155,150,36155
401,36156-36290,135,36290
400,36291-36437,147,36437
399,36438-36584,147,36584
398,36585-36745,161,36745
397,36746-36882,137,36882
396,36883-37027,145,37027
395,37028-37164,137,37164
394,37165-37294,130,37294
393,37295-37439,145,37439
392,37440-37578,139,37578
391,37579-37699,121,37699
390,37700-37831,132,37831
389,37832-37959,128,37959
388,37960-38087,128,38087
387,38088-38232,145,38232
386,38233-38370,138,38370
385,38371-38521,151,38521
384,38522-38658,137,38658
383,38659-38799,141,38799
382,38800-38910,111,38910
381,38911-39026,116,39026
380,39027-39148,122,39148
379,39149-39277,129,39277
378,39278-39384,107,39384
377,39385-39517,133,39517
376,39518-39633,116,39633
375,39634-39747,114,39747
374,39748-39842,95,39842
373,39843-39926,84,39926
372,39927-40040,114,40040
371,40041-40139,99,40139
370,40140-40245,106,40245
369,40246-40346,101,40346
368,40347-40468,122,40468
367,40469-40566,98,40566
366,40567-40678,112,40678
365,40679-40784,106,40784
364,40785-40886,102,40886
363,40887-40996,110,40996
362,40997-41105,109,41105
361,41106-41187,82,41187
360,41188-41279,92,41279
359,41280-41361,82,41361
358,41362-41459,98,41459
357,41460-41561,102,41561
356,41562-41644,83,41644
355,41645-41737,93,41737
354,41738-41810,73,41810
353,41811-41901,91,41901
352,41902-41993,92,41993
351,41994-42079,86,42079
350,42080-42149,70,42149
349,42150-42224,75,42224
348,42225-42303,79,42303
347,42304-42383,80,42383
346,42384-42462,79,42462
345,42463-42531,69,42531
344,42532-42614,83,42614
343,42615-42681,67,42681
342,42682-42749,68,42749
341,42750-42821,72,42821
340,42822-42875,54,42875
339,42876-42941,66,42941
338,42942-42993,52,42993
337,42994-43048,55,43048
336,43049-43111,63,43111
335,43112-43166,55,43166
334,43167-43224,58,43224
333,43225-43263,39,43263
332,43264-43316,53,43316
331,43317-43366,50,43366
330,43367-43429,63,43429
329,43430-43462,33,43462
328,43463-43510,48,43510
327,43511-43560,50,43560
326,43561-43609,49,43609
325,43610-43655,46,43655
324,43656-43686,31,43686
323,43687-43721,35,43721
322,43722-43769,48,43769
321,43770-43815,46,43815
320,43816-43851,36,43851
319,43852-43895,44,43895
318,43896-43946,51,43946
317,43947-43975,29,43975
316,43976-44005,30,44005
315,44006-44038,33,44038
314,44039-44075,37,44075
313,44076-44109,34,44109
