分数,位次区间,同分人数,建议位次
710,1-12,12,12
709,13-14,2,14
708,14-14,0,14
707,15-19,5,19
706,20-23,4,23
705,24-28,5,28
704,29-31,3,31
703,32-33,2,33
702,34-36,3,36
701,37-46,10,46
700,47-53,7,53
699,54-60,7,60
698,61-63,3,63
697,64-74,11,74
696,75-83,9,83
695,84-91,8,91
694,92-100,9,100
693,101-106,6,106
692,107-113,7,113
691,114-126,13,126
690,127-140,14,140
689,141-152,12,152
688,153-174,22,174
687,175-189,15,189
686,190-202,13,202
685,203-219,17,219
684,220-231,12,231
683,232-254,23,254
682,255-271,17,271
681,272-291,20,291
680,292-312,21,312
679,313-334,22,334
678,335-359,25,359
677,360-383,24,383
676,384-409,26,409
675,410-438,29,438
674,439-473,35,473
673,474-505,32,505
672,506-534,29,534
671,535-566,32,566
670,567-589,23,589
669,590-624,35,624
668,625-662,38,662
667,663-689,27,689
666,690-716,27,716
665,717-757,41,757
664,758-782,25,782
663,783-824,42,824
662,825-861,37,861
661,862-897,36,897
660,898-941,44,941
659,942-986,45,986
658,987-1036,50,1036
657,1037-1077,41,1077
656,1078-1126,49,1126
655,1127-1184,58,1184
654,1185-1236,52,1236
653,1237-1301,65,1301
652,1302-1350,49,1350
651,1351-1405,55,1405
650,1406-1476,71,1476
649,1477-1526,50,1526
648,1527-1584,58,1584
647,1585-1646,62,1646
646,1647-1704,58,1704
645,1705-1761,57,1761
644,1762-1818,57,1818
643,1819-1885,67,1885
642,1886-1948,63,1948
641,1949-2025,77,2025
640,2026-2097,72,2097
639,2098-2179,82,2179
638,2180-2259,80,2259
637,2260-2332,73,2332
636,2333-2408,76,2408
635,2409-2493,85,2493
634,2494-2580,87,2580
633,2581-2668,88,2668
632,2669-2740,72,2740
631,2741-2832,92,2832
630,2833-2913,81,2913
629,2914-2984,71,2984
628,2985-3068,84,3068
627,3069-3150,82,3150
626,3151-3240,90,3240
625,3241-3324,84,3324
624,3325-3405,81,3405
623,3406-3515,110,3515
622,3516-3615,100,3615
621,3616-3720,105,3720
620,3721-3827,107,3827
619,3828-3917,90,3917
618,3918-4016,99,4016
617,4017-4116,100,4116
616,4117-4183,67,4183
615,4184-4272,89,4272
614,4273-4366,94,4366
613,4367-4471,105,4471
612,4472-4585,114,4585
611,4586-4692,107,4692
610,4693-4832,140,4832
609,4833-4929,97,4929
608,4930-5050,121,5050
607,5051-5146,96,5146
606,5147-5255,109,5255
605,5256-5379,124,5379
604,5380-5495,116,5495
603,5496-5627,132,5627
602,5628-5740,113,5740
601,5741-5872,132,5872
600,5873-6005,133,6005
599,6006-6118,113,6118
598,6119-6245,127,6245
597,6246-6386,141,6386
596,6387-6517,131,6517
595,6518-6656,139,6656
594,6657-6796,140,6796
593,6797-6939,143,6939
592,6940-7079,140,7079
591,7080-7228,149,7228
590,7229-7385,157,7385
589,7386-7527,142,7527
588,7528-7693,166,7693
587,7694-7831,138,7831
586,7832-7988,157,7988
585,7989-8167,179,8167
584,8168-8310,143,8310
583,8311-8476,166,8476
582,8477-8639,163,8639
581,8640-8793,154,8793
580,8794-8937,144,8937
579,8938-9095,158,9095
578,9096-9281,186,9281
577,9282-9425,144,9425
576,9426-9585,160,9585
575,9586-9753,168,9753
574,9754-9901,148,9901
573,9902-10071,170,10071
572,10072-10233,162,10233
571,10234-10392,159,10392
570,10393-10566,174,10566
569,10567-10738,172,10738
568,10739-10912,174,10912
567,10913-11076,164,11076
566,11077-11269,193,11269
