分数,位次区间,同分人数,建议位次
695,1-10,10,10
694,11-14,4,14
693,15-18,4,18
692,19-22,4,22
691,23-28,6,28
690,29-36,8,36
689,37-42,6,42
688,43-47,5,47
687,48-56,9,56
686,57-60,4,60
685,61-72,12,72
684,73-86,14,86
683,87-97,11,97
682,98-110,13,110
681,111-121,11,121
680,122-139,18,139
679,140-154,15,154
678,155-176,22,176
677,177-194,18,194
676,195-223,29,223
675,224-239,16,239
674,240-260,21,260
673,261-290,30,290
672,291-322,32,322
671,323-353,31,353
670,354-387,34,387
669,388-420,33,420
668,421-457,37,457
667,458-497,40,497
666,498-534,37,534
665,535-580,46,580
664,581-608,28,608
663,609-645,37,645
662,646-690,45,690
661,691-746,56,746
660,747-784,38,784
659,785-841,57,841
658,842-896,55,896
657,897-957,61,957
656,958-1016,59,1016
655,1017-1080,64,1080
654,1081-1147,67,1147
653,1148-1215,68,1215
652,1216-1296,81,1296
651,1297-1368,72,1368
650,1369-1437,69,1437
649,1438-1515,78,1515
648,1516-1610,95,1610
647,1611-1691,81,1691
646,1692-1766,75,1766
645,1767-1862,96,1862
644,1863-1959,97,1959
643,1960-2056,97,2056
642,2057-2139,83,2139
641,2140-2261,122,2261
640,2262-2362,101,2362
639,2363-2480,118,2480
638,2481-2593,113,2593
637,2594-2715,122,2715
636,2716-2819,104,2819
635,2820-2936,117,2936
634,2937-3063,127,3063
633,3064-3189,126,3189
632,3190-3324,135,3324
631,3325-3449,125,3449
630,3450-3572,123,3572
629,3573-3725,153,3725
628,3726-3859,134,3859
627,3860-3990,131,3990
626,3991-4130,140,4130
625,4131-4303,173,4303
624,4304-4481,178,4481
623,4482-4644,163,4644
622,4645-4835,191,4835
621,4836-5002,167,5002
620,5003-5173,171,5173
619,5174-5356,183,5356
618,5357-5532,176,5532
617,5533-5730,198,5730
616,5731-5908,178,5908
615,5909-6070,162,6070
614,6071-6258,188,6258
613,6259-6475,217,6475
612,6476-6704,229,6704
611,6705-6900,196,6900
610,6901-7091,191,7091
609,7092-7295,204,7295
608,7296-7548,253,7548
607,7549-7766,218,7766
606,7767-8011,245,8011
605,8012-8241,230,8241
604,8242-8472,231,8472
603,8473-8699,227,8699
602,8700-8935,236,8935
601,8936-9168,233,9168
600,9169-9400,232,9400
599,9401-9645,245,9645
598,9646-9861,216,9861
597,9862-10095,234,10095
596,10096-10369,274,10369
595,10370-10607,238,10607
594,10608-10870,263,10870
593,10871-11149,279,11149
592,11150-11432,283,11432
591,11433-11688,256,11688
590,11689-11932,244,11932
589,11933-12215,283,12215
588,12216-12496,281,12496
587,12497-12786,290,12786
586,12787-13065,279,13065
585,13066-13351,286,13351
584,13352-13630,279,13630
583,13631-13960,330,13960
582,13961-14263,303,14263
581,14264-14577,314,14577
580,14578-14866,289,14866
579,14867-15178,312,15178
578,15179-15467,289,15467
577,15468-15773,306,15773
576,15774-16083,310,16083
575,16084-16435,352,16435
574,16436-16725,290,16725
573,16726-17005,280,17005
572,17006-17321,316,17321
571,17322-17656,335,17656
570,17657-17963,307,17963
569,17964-18285,322,18285
568,18286-18640,355,18640
567,18641-18997,357,18997
566,18998-19342,345,19342
565,19343-19658,316,19658
564,19659-20017,359,20017
563,20018-20337,320,20337
562,20338-20689,352,20689
561,20690-21023,334,21023
560,21024-21373,350,21373
559,21374-21706,333,21706
558,21707-22065,359,22065
557,22066-22445,380,22445
556,22446-22790,345,22790
555,22791-23118,328,23118
554,23119-23503,385,23503
553,23504-23861,358,23861
552,23862-24224,363,24224
551,24225-24587,363,24587
550,24588-24957,370,24957
549,24958-25356,399,25356
548,25357-25744,388,25744
547,25745-26105,361,26105
546,26106-26512,407,26512
545,26513-26908,396,26908
544,26909-27282,374,27282
543,27283-27671,389,27671
542,27672-28065,394,28065
541,28066-28471,406,28471
540,28472-28861,390,28861
539,28862-29252,391,29252
538,29253-29641,389,29641
537,29642-30050,409,30050
536,30051-30412,362,30412
