分数,位次区间,同分人数,建议位次
364,40077-40166,90,40166
363,40167-40259,93,40259
362,40260-40354,95,40354
361,40355-40453,99,40453
360,40454-40569,116,40569
359,40570-40642,73,40642
358,40643-40729,87,40729
357,40730-40814,85,40814
356,40815-40916,102,40916
355,40917-41016,100,41016
354,41017-41086,70,41086
353,41087-41160,74,41160
352,41161-41239,79,41239
351,41240-41315,76,41315
350,41316-41398,83,41398
349,41399-41469,71,41469
348,41470-41538,69,41538
347,41539-41603,65,41603
346,41604-41675,72,41675
345,41676-41743,68,41743
344,41744-41803,60,41803
343,41804-41858,55,41858
342,41859-41932,74,41932
341,41933-42000,68,42000
340,42001-42062,62,42062
339,42063-42130,68,42130
338,42131-42194,64,42194
337,42195-42256,62,42256
336,42257-42309,53,42309
335,42310-42363,54,42363
334,42364-42419,56,42419
333,42420-42471,52,42471
332,42472-42520,49,42520
331,42521-42580,60,42580
330,42581-42628,48,42628
329,42629-42685,57,42685
328,42686-42741,56,42741
327,42742-42804,63,42804
326,42805-42853,49,42853
325,42854-42902,49,42902
324,42903-42948,46,42948
323,42949-42997,49,42997
322,42998-43046,49,43046
321,43047-43078,32,43078
320,43079-43121,43,43121
319,43122-43163,42,43163
318,43164-43206,43,43206
317,43207-43247,41,43247
316,43248-43280,33,43280
315,43281-43309,29,43309
314,43310-43350,41,43350
313,43351-43383,33,43383
312,43384-43412,29,43412
311,43413-43443,31,43443
310,43444-43471,28,43471
309,43472-43497,26,43497
308,43498-43533,36,43533
307,43534-43558,25,43558
306,43559-43579,21,43579
305,43580-43606,27,43606
304,43607-43630,24,43630
303,43631-43652,22,43652
302,43653-43680,28,43680
301,43681-43696,16,43696
300,43697-43719,23,43719
299,43720-43741,22,43741
298,43742-43771,30,43771
297,43772-43797,26,43797
296,43798-43813,16,43813
295,43814-43831,18,43831
294,43832-43847,16,43847
293,43848-43865,18,43865
292,43866-43886,21,43886
291,43887-43907,21,43907
290,43908-43928,21,43928
289,43929-43951,23,43951
288,43952-43967,16,43967
287,43968-43983,16,43983
286,43984-43996,13,43996
285,43997-44007,11,44007
284,44008-44024,17,44024
283,44025-44043,19,44043
282,44044-44062,19,44062
281,44063-44078,16,44078
280,44079-44086,8,44086
