分数,位次区间,同分人数,建议位次
680,1-16,16,16
679,17-19,3,19
677,20-22,3,22
676,23-24,2,24
674,25-25,1,25
673,26-27,2,27
672,28-29,2,29
671,30-32,3,32
670,33-37,5,37
669,38-41,4,41
668,42-42,1,42
666,43-43,1,43
665,44-50,7,50
664,51-54,4,54
663,55-60,6,60
662,61-62,2,62
661,63-68,6,68
660,69-73,5,73
659,74-78,5,78
658,79-83,5,83
657,84-88,5,88
656,89-93,5,93
655,94-99,6,99
654,100-108,9,108
653,109-118,10,118
652,119-127,9,127
651,128-137,10,137
650,138-141,4,141
649,142-149,8,149
648,150-159,10,159
647,160-169,10,169
646,170-179,10,179
645,180-186,7,186
644,187-195,9,195
643,196-207,12,207
642,208-219,12,219
641,220-233,14,233
640,234-247,14,247
639,248-260,13,260
638,261-274,14,274
637,275-290,16,290
636,291-303,13,303
635,304-327,24,327
634,328-348,21,348
633,349-372,24,372
632,373-383,11,383
631,384-405,22,405
630,406-422,17,422
629,423-446,24,446
628,447-467,21,467
627,468-489,22,489
626,490-510,21,510
625,511-523,13,523
624,524-548,25,548
623,549-572,24,572
622,573-600,28,600
621,601-630,30,630
620,631-648,18,648
619,649-669,21,669
618,670-700,31,700
617,701-737,37,737
616,738-787,50,787
615,788-830,43,830
614,831-859,29,859
613,860-893,34,893
612,894-929,36,929
611,930-957,28,957
610,958-993,36,993
609,994-1029,36,1029
608,1030-1062,33,1062
607,1063-1088,26,1088
606,1089-1124,36,1124
605,1125-1156,32,1156
604,1157-1188,32,1188
603,1189-1229,41,1229
602,1230-1266,37,1266
601,1267-1321,55,1321
600,1322-1384,63,1384
599,1385-1441,57,1441
598,1442-1492,51,1492
597,1493-1537,45,1537
596,1538-1599,62,1599
595,1600-1651,52,1651
594,1652-1699,48,1699
593,1700-1748,49,1748
592,1749-1792,44,1792
591,1793-1861,69,1861
590,1862-1939,78,1939
589,1940-1996,57,1996
588,1997-2050,54,2050
587,2051-2119,69,2119
586,2120-2197,78,2197
585,2198-2268,71,2268
584,2269-2335,67,2335
583,2336-2414,79,2414
582,2415-2489,75,2489
581,2490-2562,73,2562
580,2563-2638,76,2638
579,2639-2704,66,2704
578,2705-2783,79,2783
577,2784-2870,87,2870
576,2871-2934,64,2934
575,2935-3011,77,3011
574,3012-3102,91,3102
573,3103-3180,78,3180
572,3181-3277,97,3277
571,3278-3358,81,3358
570,3359-3450,92,3450
569,3451-3548,98,3548
568,3549-3638,90,3638
567,3639-3719,81,3719
566,3720-3825,106,3825
565,3826-3936,111,3936
564,3937-4019,83,4019
563,4020-4109,90,4109
562,4110-4195,86,4195
561,4196-4311,116,4311
560,4312-4425,114,4425
559,4426-4539,114,4539
558,4540-4652,113,4652
557,4653-4760,108,4760
556,4761-4863,103,4863
555,4864-4957,94,4957
554,4958-5089,132,5089
553,5090-5187,98,5187
552,5188-5305,118,5305
551,5306-5419,114,5419
550,5420-5539,120,5539
549,5540-5646,107,5646
548,5647-5754,108,5754
547,5755-5874,120,5874
546,5875-5994,120,5994
545,5995-6115,121,6115
544,6116-6231,116,6231
543,6232-6369,138,6369
542,6370-6513,144,6513
541,6514-6656,143,6656
540,6657-6808,152,6808
539,6809-6977,169,6977
538,6978-7118,141,7118
537,7119-7265,147,7265
536,7266-7419,154,7419
535,7420-7575,156,7575
534,7576-7726,151,7726
533,7727-7894,168,7894
532,7895-8067,173,8067
531,8068-8232,165,8232
530,8233-8376,144,8376
529,8377-8526,150,8526
528,8527-8664,138,8664
527,8665-8808,144,8808
526,8809-8954,146,8954
525,8955-9114,160,9114
524,9115-9261,147,9261
523,9262-9436,175,9436
522,9437-9600,164,9600
521,9601-9762,162,9762
520,9763-9912,150,9912
519,9913-10084,172,10084
518,10085-10249,165,10249
517,10250-10408,159,10408
516,10409-10575,167,10575
515,10576-10732,157,10732
514,10733-10907,175,10907
513,10908-11083,176,11083
512,11084-11253,170,11253
511,11254-11427,174,11427
510,11428-11594,167,11594
509,11595-11804,210,11804
508,11805-11973,169,11973
507,11974-12166,193,12166
506,12167-12367,201,12367
505,12368-12561,194,12561
504,12562-12774,213,12774
503,12775-12967,193,12967
502,12968-13143,176,13143
501,13144-13319,176,13319
500,13320-13510,191,13510
499,13511-13717,207,13717
498,13718-13932,215,13932
497,13933-14130,198,14130
496,14131-14348,218,14348
495,14349-14582,234,14582
494,14583-14785,203,14785
493,14786-14972,187,14972
492,14973-15179,207,15179
491,15180-15381,202,15381
490,15382-15566,185,15566
489,15567-15770,204,15770
488,15771-15995,225,15995
487,15996-16214,219,16214
486,16215-16429,215,16429
485,16430-16635,206,16635
484,16636-16846,211,16846
483,16847-17059,213,17059
482,17060-17287,228,17287
481,17288-17497,210,17497
480,17498-17687,190,17687
479,17688-17904,217,17904
478,17905-18107,203,18107
477,18108-18309,202,18309
476,18310-18545,236,18545
475,18546-18753,208,18753
474,18754-18973,220,18973
473,18974-19204,231,19204
472,19205-19436,232,19436
471,19437-19654,218,19654
470,19655-19868,214,19868
469,19869-20099,231,20099
468,20100-20311,212,20311
467,20312-20566,255,20566
466,20567-20784,218,20784
465,20785-20988,204,20988
464,20989-21223,235,21223
463,21224-21441,218,21441
462,21442-21658,217,21658
461,21659-21879,221,21879
460,21880-22140,261,22140
459,22141-22377,237,22377
458,22378-22605,228,22605
457,22606-22841,236,22841
456,22842-23078,237,23078
455,23079-23321,243,23321
454,23322-23559,238,23559
453,23560-23810,251,23810
452,23811-24081,271,24081
451,24082-24313,232,24313
450,24314-24551,238,24551
449,24552-24790,239,24790
448,24791-25054,264,25054
447,25055-25309,255,25309
446,25310-25540,231,25540
445,25541-25792,252,25792
444,25793-26048,256,26048
443,26049-26289,241,26289
442,26290-26541,252,26541
441,26542-26776,235,26776
440,26777-27028,252,27028
439,27029-27297,269,27297
438,27298-27522,225,27522
437,27523-27759,237,27759
436,27760-28020,261,28020
435,28021-28290,270,28290
434,28291-28554,264,28554
433,28555-28829,275,28829
432,28830-29089,260,29089
431,29090-29351,262,29351
430,29352-29628,277,29628
429,29629-29878,250,29878
428,29879-30145,267,30145
427,30146-30419,274,30419
426,30420-30679,260,30679
425,30680-30936,257,30936
424,30937-31191,255,31191
423,31192-31451,260,31451
422,31452-31722,271,31722
