分数,位次区间,同分人数,建议位次
705,1-14,14,14
704,15-18,4,18
703,19-28,10,28
702,29-35,7,35
701,36-42,7,42
700,43-53,11,53
699,54-60,7,60
698,61-68,8,68
697,69-80,12,80
696,81-93,13,93
695,94-106,13,106
694,107-119,13,119
693,120-137,18,137
692,138-148,11,148
691,149-174,26,174
690,175-199,25,199
689,200-215,16,215
688,216-231,16,231
687,232-253,22,253
686,254-278,25,278
685,279-305,27,305
684,306-336,31,336
683,337-362,26,362
682,363-391,29,391
681,392-429,38,429
680,430-468,39,468
679,469-514,46,514
678,515-555,41,555
677,556-591,36,591
676,592-641,50,641
675,642-690,49,690
674,691-742,52,742
673,743-801,59,801
672,802-851,50,851
671,852-899,48,899
670,900-957,58,957
669,958-1002,45,1002
668,1003-1054,52,1054
667,1055-1114,60,1114
666,1115-1199,85,1199
665,1200-1251,52,1251
664,1252-1329,78,1329
663,1330-1394,65,1394
662,1395-1460,66,1460
661,1461-1528,68,1528
660,1529-1589,61,1589
659,1590-1668,79,1668
658,1669-1731,63,1731
657,1732-1805,74,1805
656,1806-1895,90,1895
655,1896-1962,67,1962
654,1963-2030,68,2030
653,2031-2116,86,2116
652,2117-2209,93,2209
651,2210-2289,80,2289
650,2290-2379,90,2379
649,2380-2469,90,2469
648,2470-2547,78,2547
647,2548-2633,86,2633
646,2634-2719,86,2719
645,2720-2814,95,2814
644,2815-2916,102,2916
643,2917-3021,105,3021
642,3022-3125,104,3125
641,3126-3209,84,3209
640,3210-3302,93,3302
639,3303-3415,113,3415
638,3416-3529,114,3529
637,3530-3644,115,3644
636,3645-3750,106,3750
635,3751-3872,122,3872
634,3873-3996,124,3996
633,3997-4116,120,4116
632,4117-4218,102,4218
631,4219-4325,107,4325
630,4326-4427,102,4427
629,4428-4559,132,4559
628,4560-4680,121,4680
627,4681-4803,123,4803
626,4804-4918,115,4918
625,4919-5031,113,5031
624,5032-5143,112,5143
623,5144-5258,115,5258
622,5259-5370,112,5370
621,5371-5490,120,5490
620,5491-5610,120,5610
619,5611-5722,112,5722
618,5723-5847,125,5847
617,5848-5969,122,5969
616,5970-6113,144,6113
615,6114-6235,122,6235
614,6236-6368,133,6368
613,6369-6510,142,6510
612,6511-6638,128,6638
611,6639-6757,119,6757
610,6758-6893,136,6893
609,6894-7009,116,7009
608,7010-7127,118,7127
607,7128-7241,114,7241
606,7242-7367,126,7367
605,7368-7503,136,7503
604,7504-7627,124,7627
603,7628-7761,134,7761
602,7762-7887,126,7887
601,7888-8021,134,8021
600,8022-8149,128,8149
599,8150-8276,127,8276
598,8277-8415,139,8415
597,8416-8519,104,8519
596,8520-8643,124,8643
595,8644-8780,137,8780
594,8781-8903,123,8903
593,8904-9046,143,9046
592,9047-9171,125,9171
591,9172-9304,133,9304
590,9305-9427,123,9427
589,9428-9553,126,9553
588,9554-9681,128,9681
587,9682-9827,146,9827
586,9828-9967,140,9967
585,9968-10081,114,10081
584,10082-10220,139,10220
583,10221-10348,128,10348
582,10349-10466,118,10466
581,10467-10599,133,10599
580,10600-10713,114,10713
579,10714-10843,130,10843
578,10844-10964,121,10964
577,10965-11081,117,11081
576,11082-11195,114,11195
575,11196-11306,111,11306
574,11307-11429,123,11429
573,11430-11595,166,11595
572,11596-11708,113,11708
571,11709-11827,119,11827
570,11828-11959,132,11959
569,11960-12094,135,12094
568,12095-12208,114,12208
567,12209-12355,147,12355
566,12356-12501,146,12501
565,12502-12630,129,12630
564,12631-12773,143,12773
