分数,位次区间,同分人数,建议位次
679,1-108,108,108
678,109-119,11,119
677,120-125,6,125
676,126-138,13,138
675,139-149,11,149
674,150-165,16,165
673,166-181,16,181
672,182-196,15,196
671,197-208,12,208
670,209-234,26,234
669,235-253,19,253
668,254-283,30,283
667,284-298,15,298
666,299-331,33,331
665,332-355,24,355
664,356-386,31,386
663,387-418,32,418
662,419-456,38,456
661,457-483,27,483
660,484-502,19,502
659,503-527,25,527
658,528-565,38,565
657,566-594,29,594
656,595-636,42,636
655,637-680,44,680
654,681-715,35,715
653,716-760,45,760
652,761-793,33,793
651,794-831,38,831
650,832-873,42,873
649,874-924,51,924
648,925-965,41,965
647,966-1014,49,1014
646,1015-1067,53,1067
645,1068-1126,59,1126
644,1127-1163,37,1163
643,1164-1215,52,1215
642,1216-1278,63,1278
641,1279-1340,62,1340
640,1341-1399,59,1399
639,1400-1450,51,1450
638,1451-1520,70,1520
637,1521-1579,59,1579
636,1580-1643,64,1643
635,1644-1704,61,1704
634,1705-1780,76,1780
633,1781-1856,76,1856
632,1857-1922,66,1922
631,1923-1995,73,1995
630,1996-2073,78,2073
629,2074-2148,75,2148
628,2149-2229,81,2229
627,2230-2295,66,2295
626,2296-2395,100,2395
625,2396-2474,79,2474
624,2475-2556,82,2556
623,2557-2643,87,2643
622,2644-2734,91,2734
621,2735-2833,99,2833
620,2834-2927,94,2927
619,2928-3023,96,3023
618,3024-3120,97,3120
617,3121-3219,99,3219
616,3220-3320,101,3320
615,3321-3428,108,3428
614,3429-3542,114,3542
613,3543-3617,75,3617
612,3618-3698,81,3698
611,3699-3806,108,3806
610,3807-3936,130,3936
609,3937-4050,114,4050
608,4051-4152,102,4152
607,4153-4261,109,4261
606,4262-4365,104,4365
605,4366-4472,107,4472
604,4473-4610,138,4610
603,4611-4732,122,4732
602,4733-4869,137,4869
601,4870-5004,135,5004
600,5005-5143,139,5143
599,5144-5256,113,5256
598,5257-5372,116,5372
597,5373-5516,144,5516
596,5517-5644,128,5644
595,5645-5778,134,5778
594,5779-5936,158,5936
593,5937-6057,121,6057
592,6058-6202,145,6202
591,6203-6334,132,6334
590,6335-6505,171,6505
589,6506-6644,139,6644
588,6645-6801,157,6801
587,6802-6934,133,6934
586,6935-7088,154,7088
585,7089-7250,162,7250
584,7251-7418,168,7418
583,7419-7558,140,7558
582,7559-7689,131,7689
581,7690-7843,154,7843
580,7844-8011,168,8011
579,8012-8156,145,8156
578,8157-8316,160,8316
577,8317-8489,173,8489
576,8490-8654,165,8654
575,8655-8828,174,8828
574,8829-8993,165,8993
573,8994-9154,161,9154
572,9155-9318,164,9318
571,9319-9473,155,9473
570,9474-9675,202,9675
569,9676-9867,192,9867
568,9868-10040,173,10040
567,10041-10209,169,10209
566,10210-10376,167,10376
565,10377-10536,160,10536
564,10537-10715,179,10715
563,10716-10878,163,10878
562,10879-11052,174,11052
561,11053-11241,189,11241
560,11242-11409,168,11409
559,11410-11585,176,11585
558,11586-11768,183,11768
557,11769-11955,187,11955
556,11956-12151,196,12151
555,12152-12338,187,12338
554,12339-12511,173,12511
553,12512-12690,179,12690
552,12691-12896,206,12896
551,12897-13094,198,13094
550,13095-13309,215,13309
549,13310-13512,203,13512
548,13513-13695,183,13695
547,13696-13909,214,13909
546,13910-14114,205,14114
545,14115-14303,189,14303
544,14304-14503,200,14503
543,14504-14708,205,14708
542,14709-14923,215,14923
541,14924-15123,200,15123
540,15124-15327,204,15327
539,15328-15521,194,15521
538,15522-15744,223,15744
537,15745-15954,210,15954
536,15955-16163,209,16163
535,16164-16346,183,16346
534,16347-16542,196,16542
533,16543-16734,192,16734
532,16735-16947,213,16947
531,16948-17149,202,17149
530,17150-17384,235,17384
529,17385-17588,204,17588
528,17589-17827,239,17827
527,17828-18044,217,18044
526,18045-18284,240,18284
525,18285-18504,220,18504
524,18505-18712,208,18712
523,18713-18932,220,18932
522,18933-19159,227,19159
521,19160-19374,215,19374
520,19375-19613,239,19613
519,19614-19830,217,19830
518,19831-20044,214,20044
517,20045-20267,223,20267
516,20268-20499,232,20499
515,20500-20735,236,20735
514,20736-20964,229,20964
513,20965-21167,203,21167
512,21168-21392,225,21392
511,21393-21626,234,21626
510,21627-21854,228,21854
509,21855-22104,250,22104
508,22105-22358,254,22358
507,22359-22593,235,22593
506,22594-22824,231,22824
505,22825-23049,225,23049
504,23050-23316,267,23316
503,23317-23571,255,23571
502,23572-23800,229,23800
501,23801-24044,244,24044
500,24045-24310,266,24310
499,24311-24553,243,24553
498,24554-24832,279,24832
497,24833-25087,255,25087
496,25088-25347,260,25347
495,25348-25601,254,25601
494,25602-25845,244,25845
493,25846-26100,255,26100
492,26101-26341,241,26341
491,26342-26635,294,26635
490,26636-26884,249,26884
489,26885-27135,251,27135
488,27136-27374,239,27374
487,27375-27624,250,27624
486,27625-27871,247,27871
485,27872-28129,258,28129
484,28130-28410,281,28410
483,28411-28662,252,28662
482,28663-28928,266,28928
481,28929-29194,266,29194
480,29195-29444,250,29444
479,29445-29691,247,29691
478,29692-29965,274,29965
477,29966-30252,287,30252
476,30253-30492,240,30492
475,30493-30766,274,30766
474,30767-31070,304,31070
473,31071-31348,278,31348
472,31349-31601,253,31601
471,31602-31873,272,31873
470,31874-32142,269,32142
469,32143-32440,298,32440
468,32441-32702,262,32702
467,32703-32972,270,32972
466,32973-33243,271,33243
465,33244-33500,257,33500
464,33501-33774,274,33774
463,33775-34051,277,34051
462,34052-34351,300,34351
461,34352-34615,264,34615
460,34616-34915,300,34915
459,34916-35202,287,35202
458,35203-35477,275,35477
457,35478-35763,286,35763
456,35764-36040,277,36040
455,36041-36331,291,36331
454,36332-36591,260,36591
453,36592-36851,260,36851
452,36852-37119,268,37119
451,37120-37389,270,37389
450,37390-37670,281,37670
449,37671-37962,292,37962
448,37963-38253,291,38253
447,38254-38522,269,38522
446,38523-38789,267,38789
445,38790-39082,293,39082
444,39083-39357,275,39357
443,39358-39620,263,39620
442,39621-39910,290,39910
441,39911-40178,268,40178
440,40179-40437,259,40437
439,40438-40675,238,40675
438,40676-40960,285,40960
437,40961-41219,259,41219
436,41220-41484,265,41484
435,41485-41748,264,41748
434,41749-42035,287,42035
433,42036-42299,264,42299
432,42300-42586,287,42586
431,42587-42873,287,42873
430,42874-43112,239,43112
429,43113-43381,269,43381
428,43382-43678,297,43678
427,43679-43940,262,43940
426,43941-44201,261,44201
425,44202-44476,275,44476
424,44477-44760,284,44760
423,44761-45029,269,45029
422,45030-45302,273,45302
421,45303-45553,251,45553
420,45554-45808,255,45808
419,45809-46053,245,46053
418,46054-46347,294,46347
417,46348-46624,277,46624
416,46625-46866,242,46866
415,46867-47102,236,47102
414,47103-47376,274,47376
413,47377-47640,264,47640
412,47641-47875,235,47875
411,47876-48162,287,48162
410,48163-48428,266,48428
409,48429-48702,274,48702
408,48703-48967,265,48967
407,48968-49211,244,49211
406,49212-49455,244,49455
405,49456-49678,223,49678
404,49679-49904,226,49904
403,49905-50161,257,50161
402,50162-50400,239,50400
401,50401-50605,205,50605
400,50606-50860,255,50860
399,50861-51113,253,51113
398,51114-51332,219,51332
397,51333-51576,244,51576
396,51577-51834,258,51834
395,51835-52076,242,52076
394,52077-52329,253,52329
393,52330-52559,230,52559
392,52560-52786,227,52786
391,52787-53057,271,53057
390,53058-53271,214,53271
389,53272-53481,210,53481
388,53482-53695,214,53695
387,53696-53910,215,53910
386,53911-54132,222,54132
385,54133-54350,218,54350
384,54351-54582,232,54582
383,54583-54798,216,54798
382,54799-55029,231,55029
381,55030-55253,224,55253
380,55254-55450,197,55450
379,55451-55667,217,55667
