分数,位次区间,同分人数,建议位次
706,1-10,10,10
705,11-12,2,12
704,13-17,5,17
703,18-19,2,19
702,20-25,6,25
701,26-31,6,31
700,32-38,7,38
699,39-39,1,39
698,40-44,5,44
697,45-48,4,48
696,49-55,7,55
695,56-67,12,67
694,68-76,9,76
693,77-92,16,92
692,93-107,15,107
691,108-121,14,121
690,122-137,16,137
689,138-153,16,153
688,154-170,17,170
687,171-188,18,188
686,189-211,23,211
685,212-235,24,235
684,236-258,23,258
683,259-280,22,280
682,281-303,23,303
681,304-327,24,327
680,328-359,32,359
679,360-399,40,399
678,400-427,28,427
677,428-469,42,469
676,470-508,39,508
675,509-535,27,535
674,536-566,31,566
673,567-611,45,611
672,612-650,39,650
671,651-697,47,697
670,698-747,50,747
669,748-803,56,803
668,804-844,41,844
667,845-892,48,892
666,893-942,50,942
665,943-998,56,998
664,999-1065,67,1065
663,1066-1145,80,1145
662,1146-1206,61,1206
661,1207-1274,68,1274
660,1275-1336,62,1336
659,1337-1412,76,1412
658,1413-1491,79,1491
657,1492-1562,71,1562
656,1563-1646,84,1646
655,1647-1731,85,1731
654,1732-1816,85,1816
653,1817-1910,94,1910
652,1911-2010,100,2010
651,2011-2109,99,2109
650,2110-2216,107,2216
649,2217-2301,85,2301
648,2302-2411,110,2411
647,2412-2507,96,2507
646,2508-2626,119,2626
645,2627-2751,125,2751
644,2752-2858,107,2858
643,2859-2991,133,2991
642,2992-3091,100,3091
641,3092-3228,137,3228
640,3229-3354,126,3354
639,3355-3478,124,3478
638,3479-3604,126,3604
637,3605-3728,124,3728
636,3729-3874,146,3874
635,3875-4009,135,4009
634,4010-4145,136,4145
633,4146-4282,137,4282
632,4283-4416,134,4416
631,4417-4573,157,4573
630,4574-4736,163,4736
629,4737-4885,149,4885
628,4886-5037,152,5037
627,5038-5210,173,5210
626,5211-5355,145,5355
625,5356-5531,176,5531
624,5532-5708,177,5708
623,5709-5890,182,5890
622,5891-6049,159,6049
621,6050-6240,191,6240
620,6241-6438,198,6438
619,6439-6626,188,6626
618,6627-6826,200,6826
617,6827-6999,173,6999
616,7000-7186,187,7186
615,7187-7393,207,7393
614,7394-7583,190,7583
613,7584-7813,230,7813
612,7814-7981,168,7981
611,7982-8170,189,8170
610,8171-8403,233,8403
609,8404-8601,198,8601
608,8602-8839,238,8839
607,8840-9026,187,9026
606,9027-9245,219,9245
605,9246-9467,222,9467
604,9468-9675,208,9675
603,9676-9916,241,9916
602,9917-10135,219,10135
601,10136-10365,230,10365
600,10366-10607,242,10607
599,10608-10819,212,10819
598,10820-11052,233,11052
597,11053-11304,252,11304
596,11305-11518,214,11518
595,11519-11739,221,11739
594,11740-11992,253,11992
593,11993-12250,258,12250
592,12251-12519,269,12519
591,12520-12765,246,12765
590,12766-13000,235,13000
589,13001-13287,287,13287
588,13288-13544,257,13544
587,13545-13818,274,13818
586,13819-14090,272,14090
585,14091-14358,268,14358
584,14359-14627,269,14627
583,14628-14900,273,14900
582,14901-15164,264,15164
581,15165-15445,281,15445
580,15446-15718,273,15718
579,15719-16000,282,16000
578,16001-16319,319,16319
577,16320-16622,303,16622
576,16623-16898,276,16898
575,16899-17187,289,17187
574,17188-17484,297,17484
573,17485-17778,294,17778
572,17779-18046,268,18046
571,18047-18356,310,18356
570,18357-18648,292,18648
569,18649-18961,313,18961
568,18962-19296,335,19296
567,19297-19612,316,19612
566,19613-19934,322,19934
565,19935-20252,318,20252
564,20253-20563,311,20563
563,20564-20903,340,20903
562,20904-21230,327,21230
561,21231-21545,315,21545
560,21546-21835,290,21835
559,21836-22120,285,22120
558,22121-22448,328,22448
557,22449-22764,316,22764
556,22765-23075,311,23075
555,23076-23421,346,23421
554,23422-23738,317,23738
553,23739-24068,330,24068
552,24069-24410,342,24410
551,24411-24744,334,24744
550,24745-25100,356,25100
549,25101-25426,326,25426
548,25427-25779,353,25779
547,25780-26172,393,26172
546,26173-26498,326,26498
545,26499-26861,363,26861
544,26862-27192,331,27192
543,27193-27558,366,27558
542,27559-27891,333,27891
541,27892-28235,344,28235
540,28236-28592,357,28592
539,28593-28963,371,28963
538,28964-29334,371,29334
537,29335-29725,391,29725
536,29726-30125,400,30125
535,30126-30474,349,30474
534,30475-30834,360,30834
533,30835-31189,355,31189
532,31190-31573,384,31573
531,31574-31932,359,31932
530,31933-32302,370,32302
529,32303-32704,402,32704
528,32705-33066,362,33066
527,33067-33430,364,33430
526,33431-33803,373,33803
525,33804-34191,388,34191
524,34192-34554,363,34554
523,34555-34932,378,34932
522,34933-35328,396,35328
521,35329-35702,374,35702
520,35703-36061,359,36061
519,36062-36446,385,36446
518,36447-36797,351,36797
517,36798-37196,399,37196
516,37197-37574,378,37574
515,37575-37956,382,37956
514,37957-38354,398,38354
513,38355-38723,369,38723
512,38724-39100,377,39100
511,39101-39494,394,39494
510,39495-39872,378,39872
509,39873-40288,416,40288
508,40289-40674,386,40674
507,40675-41073,399,41073
506,41074-41481,408,41481
505,41482-41884,403,41884
504,41885-42285,401,42285
503,42286-42647,362,42647
502,42648-43040,393,43040
501,43041-43440,400,43440
500,43441-43870,430,43870
499,43871-44300,430,44300
498,44301-44663,363,44663
497,44664-45006,343,45006
496,45007-45393,387,45393
495,45394-45806,413,45806
494,45807-46220,414,46220
493,46221-46626,406,46626
492,46627-47023,397,47023
491,47024-47408,385,47408
490,47409-47809,401,47809
489,47810-48201,392,48201
488,48202-48603,402,48603
487,48604-48982,379,48982
486,48983-49378,396,49378
485,49379-49767,389,49767
484,49768-50152,385,50152
483,50153-50546,394,50546
482,50547-50973,427,50973
481,50974-51387,414,51387
480,51388-51763,376,51763
479,51764-52162,399,52162
478,52163-52565,403,52565
477,52566-52994,429,52994
476,52995-53402,408,53402
475,53403-53809,407,53809
474,53810-54220,411,54220
473,54221-54638,418,54638
472,54639-55007,369,55007
471,55008-55408,401,55408
470,55409-55789,381,55789
469,55790-56169,380,56169
468,56170-56578,409,56578
467,56579-56971,393,56971
466,56972-57350,379,57350
465,57351-57741,391,57741
464,57742-58127,386,58127
463,58128-58524,397,58524
462,58525-58902,378,58902
461,58903-59291,389,59291
460,59292-59670,379,59670
459,59671-60065,395,60065
458,60066-60451,386,60451
457,60452-60823,372,60823
456,60824-61204,381,61204
455,61205-61559,355,61559
454,61560-61942,383,61942
453,61943-62283,341,62283
452,62284-62611,328,62611
451,62612-62997,386,62997
450,62998-63350,353,63350
449,63351-63720,370,63720
448,63721-64092,372,64092
447,64093-64452,360,64452
446,64453-64838,386,64838
445,64839-65239,401,65239
444,65240-65578,339,65578
443,65579-65926,348,65926
442,65927-66314,388,66314
441,66315-66640,326,66640
440,66641-67022,382,67022
439,67023-67389,367,67389
438,67390-67744,355,67744
437,67745-68130,386,68130
436,68131-68480,350,68480
435,68481-68825,345,68825
434,68826-69174,349,69174
433,69175-69512,338,69512
432,69513-69893,381,69893
431,69894-70210,317,70210
430,70211-70563,353,70563
429,70564-70908,345,70908
428,70909-71254,346,71254
427,71255-71578,324,71578
426,71579-71919,341,71919
425,71920-72256,337,72256
424,72257-72582,326,72582
423,72583-72922,340,72922
422,72923-73233,311,73233
421,73234-73578,345,73578
420,73579-73901,323,73901
419,73902-74224,323,74224
418,74225-74564,340,74564
417,74565-74869,305,74869
416,74870-75181,312,75181
415,75182-75510,329,75510
414,75511-75815,305,75815
413,75816-76111,296,76111
412,76112-76390,279,76390
411,76391-76728,338,76728
410,76729-77059,331,77059
409,77060-77340,281,77340
408,77341-77643,303,77643
407,77644-77949,306,77949
406,77950-78284,335,78284
405,78285-78586,302,78586
404,78587-78843,257,78843
403,78844-79155,312,79155
402,79156-79478,323,79478
401,79479-79741,263,79741
400,79742-80044,303,80044
399,80045-80336,292,80336
398,80337-80606,270,80606
397,80607-80897,291,80897
396,80898-81164,267,81164
395,81165-81450,286,81450
394,81451-81712,262,81712
393,81713-81964,252,81964
392,81965-82212,248,82212
391,82213-82501,289,82501
390,82502-82737,236,82737
389,82738-83001,264,83001
388,83002-83245,244,83245
387,83246-83477,232,83477
386,83478-83726,249,83726
385,83727-83959,233,83959
384,83960-84194,235,84194
383,84195-84465,271,84465
382,84466-84704,239,84704
381,84705-84948,244,84948
380,84949-85169,221,85169
379,85170-85408,239,85408
378,85409-85635,227,85635
377,85636-85865,230,85865
376,85866-86099,234,86099
375,86100-86334,235,86334
374,86335-86569,235,86569
373,86570-86806,237,86806
372,86807-87024,218,87024
371,87025-87260,236,87260
370,87261-87474,214,87474
369,87475-87699,225,87699
368,87700-87919,220,87919
367,87920-88157,238,88157
366,88158-88357,200,88357
365,88358-88574,217,88574
364,88575-88790,216,88790
363,88791-89001,211,89001
362,89002-89184,183,89184
361,89185-89395,211,89395
360,89396-89608,213,89608
359,89609-89807,199,89807
358,89808-89979,172,89979
357,89980-90165,186,90165
356,90166-90365,200,90365
355,90366-90558,193,90558
354,90559-90738,180,90738
353,90739-90903,165,90903
352,90904-91076,173,91076
351,91077-91251,175,91251
350,91252-91432,181,91432
349,91433-91614,182,91614
348,91615-91793,179,91793
347,91794-91972,179,91972
346,91973-92124,152,92124
345,92125-92283,159,92283
344,92284-92454,171,92454
343,92455-92616,162,92616
342,92617-92765,149,92765
341,92766-92952,187,92952
340,92953-93123,171,93123
339,93124-93292,169,93292
338,93293-93431,139,93431
337,93432-93600,169,93600
336,93601-93737,137,93737
335,93738-93891,154,93891
334,93892-94017,126,94017
333,94018-94167,150,94167
332,94168-94322,155,94322
331,94323-94456,134,94456
330,94457-94599,143,94599
329,94600-94722,123,94722
328,94723-94855,133,94855
327,94856-94985,130,94985
326,94986-95142,157,95142
325,95143-95274,132,95274
324,95275-95426,152,95426
323,95427-95557,131,95557
322,95558-95681,124,95681
321,95682-95798,117,95798
320,95799-95927,129,95927
319,95928-96053,126,96053
318,96054-96180,127,96180
317,96181-96298,118,96298
316,96299-96436,138,96436
315,96437-96548,112,96548
314,96549-96664,116,96664
313,96665-96766,102,96766
312,96767-96878,112,96878
311,96879-96992,114,96992
310,96993-97075,83,97075
309,97076-97183,108,97183
308,97184-97282,99,97282
307,97283-97382,100,97382
306,97383-97494,112,97494
305,97495-97582,88,97582
304,97583-97677,95,97677
303,97678-97797,120,97797
302,97798-97897,100,97897
301,97898-97997,100,97997
300,97998-98098,101,98098
299,98099-98179,81,98179
298,98180-98285,106,98285
297,98286-98370,85,98370
296,98371-98469,99,98469
295,98470-98562,93,98562
294,98563-98640,78,98640
293,98641-98737,97,98737
292,98738-98840,103,98840
291,98841-98923,83,98923
290,98924-99011,88,99011
289,99012-99082,71,99082
288,99083-99164,82,99164
287,99165-99236,72,99236
286,99237-99310,74,99310
285,99311-99394,84,99394
284,99395-99472,78,99472
283,99473-99541,69,99541
282,99542-99610,69,99610
281,99611-99670,60,99670
280,99671-99742,72,99742
279,99743-99831,89,99831
278,99832-99902,71,99902
277,99903-99980,78,99980
276,99981-100047,67,100047
275,100048-100121,74,100121
274,100122-100170,49,100170
273,100171-100252,82,100252
272,100253-100321,69,100321
271,100322-100382,61,100382
270,100383-100445,63,100445
269,100446-100504,59,100504
268,100505-100573,69,100573
267,100574-100633,60,100633
266,100634-100686,53,100686
265,100687-100751,65,100751
264,100752-100798,47,100798
263,100799-100841,43,100841
262,100842-100878,37,100878
261,100879-100933,55,100933
260,100934-100973,40,100973
259,100974-101020,47,101020
258,101021-101065,45,101065
257,101066-101107,42,101107
256,101108-101159,52,101159
255,101160-101209,50,101209
254,101210-101248,39,101248
253,101249-101277,29,101277
252,101278-101316,39,101316
251,101317-101343,27,101343
250,101344-101394,51,101394
249,101395-101428,34,101428
248,101429-101460,32,101460
247,101461-101502,42,101502
246,101503-101544,42,101544
245,101545-101583,39,101583
244,101584-101612,29,101612
243,101613-101641,29,101641
242,101642-101679,38,101679
241,101680-101715,36,101715
240,101716-101750,35,101750
239,101751-101781,31,101781
