分数,位次区间,同分人数,建议位次
700,1-24,24,24
699,25-31,7,31
698,32-39,8,39
697,40-49,10,49
696,50-57,8,57
695,58-67,10,67
694,68-75,8,75
693,76-81,6,81
692,82-93,12,93
691,94-108,15,108
690,109-117,9,117
689,118-129,12,129
688,130-137,8,137
687,138-145,8,145
686,146-165,20,165
685,166-185,20,185
684,186-203,18,203
683,204-228,25,228
682,229-251,23,251
681,252-271,20,271
680,272-302,31,302
679,303-339,37,339
678,340-374,35,374
677,375-405,31,405
676,406-448,43,448
675,449-489,41,489
674,490-523,34,523
673,524-577,54,577
672,578-636,59,636
671,637-672,36,672
670,673-718,46,718
669,719-780,62,780
668,781-840,60,840
667,841-889,49,889
666,890-945,56,945
665,946-1004,59,1004
664,1005-1067,63,1067
663,1068-1130,63,1130
662,1131-1204,74,1204
661,1205-1285,81,1285
660,1286-1369,84,1369
659,1370-1439,70,1439
658,1440-1522,83,1522
657,1523-1597,75,1597
656,1598-1678,81,1678
655,1679-1762,84,1762
654,1763-1858,96,1858
653,1859-1943,85,1943
652,1944-2035,92,2035
651,2036-2131,96,2131
650,2132-2216,85,2216
649,2217-2310,94,2310
648,2311-2414,104,2414
647,2415-2512,98,2512
646,2513-2592,80,2592
645,2593-2672,80,2672
644,2673-2766,94,2766
643,2767-2863,97,2863
642,2864-2971,108,2971
641,2972-3082,111,3082
640,3083-3180,98,3180
639,3181-3284,104,3284
638,3285-3396,112,3396
637,3397-3505,109,3505
636,3506-3606,101,3606
635,3607-3707,101,3707
634,3708-3835,128,3835
633,3836-3948,113,3948
632,3949-4070,122,4070
631,4071-4171,101,4171
630,4172-4298,127,4298
629,4299-4412,114,4412
628,4413-4541,129,4541
627,4542-4655,114,4655
626,4656-4778,123,4778
625,4779-4895,117,4895
624,4896-5000,105,5000
623,5001-5110,110,5110
622,5111-5227,117,5227
621,5228-5339,112,5339
620,5340-5460,121,5460
619,5461-5576,116,5576
618,5577-5696,120,5696
617,5697-5830,134,5830
616,5831-5951,121,5951
615,5952-6072,121,6072
614,6073-6183,111,6183
613,6184-6305,122,6305
612,6306-6413,108,6413
611,6414-6536,123,6536
610,6537-6653,117,6653
609,6654-6771,118,6771
608,6772-6900,129,6900
607,6901-7026,126,7026
606,7027-7146,120,7146
605,7147-7266,120,7266
604,7267-7391,125,7391
603,7392-7506,115,7506
602,7507-7618,112,7618
601,7619-7737,119,7737
600,7738-7844,107,7844
599,7845-7978,134,7978
598,7979-8114,136,8114
597,8115-8233,119,8233
596,8234-8350,117,8350
595,8351-8483,133,8483
594,8484-8613,130,8613
593,8614-8741,128,8741
592,8742-8869,128,8869
591,8870-9013,144,9013
590,9014-9136,123,9136
589,9137-9278,142,9278
588,9279-9399,121,9399
587,9400-9556,157,9556
586,9557-9685,129,9685
585,9686-9813,128,9813
584,9814-9926,113,9926
583,9927-10046,120,10046
582,10047-10178,132,10178
581,10179-10304,126,10304
580,10305-10451,147,10451
579,10452-10585,134,10585
578,10586-10719,134,10719
577,10720-10853,134,10853
576,10854-10968,115,10968
575,10969-11103,135,11103
574,11104-11239,136,11239
573,11240-11350,111,11350
572,11351-11480,130,11480
571,11481-11609,129,11609
570,11610-11744,135,11744
569,11745-11861,117,11861
568,11862-11975,114,11975
567,11976-12103,128,12103
566,12104-12246,143,12246
565,12247-12389,143,12389
564,12390-12511,122,12511
563,12512-12630,119,12630
562,12631-12749,119,12749
561,12750-12857,108,12857
560,12858-12985,128,12985
559,12986-13108,123,13108
558,13109-13244,136,13244
557,13245-13380,136,13380
556,13381-13514,134,13514
555,13515-13630,116,13630
554,13631-13758,128,13758
553,13759-13890,132,13890
552,13891-14022,132,14022
551,14023-14151,129,14151
550,14152-14270,119,14270
549,14271-14400,130,14400
548,14401-14526,126,14526
547,14527-14648,122,14648
546,14649-14784,136,14784
545,14785-14898,114,14898
544,14899-15014,116,15014
543,15015-15129,115,15129
542,15130-15247,118,15247
541,15248-15365,118,15365
540,15366-15467,102,15467
539,15468-15585,118,15585
538,15586-15699,114,15699
537,15700-15826,127,15826
536,15827-15943,117,15943
535,15944-16083,140,16083
534,16084-16219,136,16219
533,16220-16346,127,16346
532,16347-16459,113,16459
531,16460-16608,149,16608
530,16609-16733,125,16733
529,16734-16860,127,16860
528,16861-16994,134,16994
527,16995-17124,130,17124
526,17125-17248,124,17248
525,17249-17360,112,17360
524,17361-17481,121,17481
523,17482-17617,136,17617
522,17618-17727,110,17727
521,17728-17843,116,17843
520,17844-17977,134,17977
519,17978-18104,127,18104
518,18105-18212,108,18212
517,18213-18331,119,18331
516,18332-18457,126,18457
515,18458-18560,103,18560
514,18561-18697,137,18697
513,18698-18821,124,18821
512,18822-18967,146,18967
511,18968-19087,120,19087
510,19088-19213,126,19213
509,19214-19318,105,19318
508,19319-19429,111,19429
507,19430-19542,113,19542
506,19543-19650,108,19650
505,19651-19763,113,19763
504,19764-19878,115,19878
503,19879-20011,133,20011
502,20012-20142,131,20142
501,20143-20261,119,20261
500,20262-20386,125,20386
499,20387-20509,123,20509
498,20510-20619,110,20619
497,20620-20730,111,20730
