分数,位次区间,同分人数,建议位次
708,1-32,32,32
707,33-34,2,34
706,35-40,6,40
705,41-44,4,44
704,45-55,11,55
703,56-63,8,63
702,64-77,14,77
701,78-88,11,88
700,89-108,20,108
699,109-136,28,136
698,137-150,14,150
697,151-170,20,170
696,171-198,28,198
695,199-226,28,226
694,227-261,35,261
693,262-303,42,303
692,304-339,36,339
691,340-382,43,382
690,383-418,36,418
689,419-466,48,466
688,467-537,71,537
687,538-592,55,592
686,593-652,60,652
685,653-707,55,707
684,708-769,62,769
683,770-850,81,850
682,851-922,72,922
681,923-1024,102,1024
680,1025-1113,89,1113
679,1114-1215,102,1215
678,1216-1326,111,1326
677,1327-1437,111,1437
676,1438-1574,137,1574
675,1575-1694,120,1694
674,1695-1811,117,1811
673,1812-1958,147,1958
672,1959-2080,122,2080
671,2081-2234,154,2234
670,2235-2384,150,2384
669,2385-2531,147,2531
668,2532-2704,173,2704
667,2705-2883,179,2883
666,2884-3076,193,3076
665,3077-3258,182,3258
664,3259-3435,177,3435
663,3436-3633,198,3633
662,3634-3821,188,3821
661,3822-4051,230,4051
660,4052-4291,240,4291
659,4292-4522,231,4522
658,4523-4750,228,4750
657,4751-5030,280,5030
656,5031-5280,250,5280
655,5281-5561,281,5561
654,5562-5838,277,5838
653,5839-6125,287,6125
652,6126-6430,305,6430
651,6431-6724,294,6724
650,6725-7007,283,7007
649,7008-7343,336,7343
648,7344-7686,343,7686
647,7687-7994,308,7994
646,7995-8341,347,8341
645,8342-8674,333,8674
644,8675-8965,291,8965
643,8966-9339,374,9339
642,9340-9708,369,9708
641,9709-10082,374,10082
640,10083-10452,370,10452
639,10453-10835,383,10835
638,10836-11231,396,11231
637,11232-11658,427,11658
636,11659-12058,400,12058
635,12059-12472,414,12472
634,12473-12894,422,12894
633,12895-13339,445,13339
632,13340-13750,411,13750
631,13751-14193,443,14193
630,14194-14623,430,14623
629,14624-15092,469,15092
628,15093-15579,487,15579
627,15580-16046,467,16046
626,16047-16498,452,16498
625,16499-16958,460,16958
624,16959-17444,486,17444
623,17445-17933,489,17933
622,17934-18484,551,18484
621,18485-18977,493,18977
620,18978-19493,516,19493
619,19494-20064,571,20064
618,20065-20579,515,20579
617,20580-21133,554,21133
616,21134-21637,504,21637
615,21638-22208,571,22208
614,22209-22806,598,22806
613,22807-23347,541,23347
612,23348-23913,566,23913
611,23914-24487,574,24487
610,24488-25064,577,25064
609,25065-25672,608,25672
608,25673-26325,653,26325
607,26326-26920,595,26920
606,26921-27568,648,27568
605,27569-28238,670,28238
604,28239-28870,632,28870
603,28871-29513,643,29513
602,29514-30139,626,30139
601,30140-30764,625,30764
600,30765-31474,710,31474
599,31475-32129,655,32129
598,32130-32799,670,32799
597,32800-33455,656,33455
596,33456-34128,673,34128
595,34129-34818,690,34818
594,34819-35490,672,35490
593,35491-36210,720,36210
592,36211-36906,696,36906
591,36907-37604,698,37604
590,37605-38298,694,38298
589,38299-39081,783,39081
588,39082-39788,707,39788
587,39789-40563,775,40563
586,40564-41321,758,41321
585,41322-42027,706,42027
584,42028-42750,723,42750
583,42751-43502,752,43502
582,43503-44275,773,44275
581,44276-45020,745,45020
580,45021-45778,758,45778
579,45779-46575,797,46575
578,46576-47359,784,47359
577,47360-48153,794,48153
576,48154-48948,795,48948
575,48949-49746,798,49746
