分数,位次区间,同分人数,建议位次
698,1-13,13,13
697,0-13,0,13
696,14-15,2,15
695,16-16,1,16
694,0-16,0,16
693,17-18,2,18
692,19-22,4,22
691,23-25,3,25
690,26-28,3,28
689,29-34,6,34
688,35-37,3,37
687,38-40,3,40
686,41-46,6,46
685,47-47,1,47
684,48-52,5,52
683,53-61,9,61
682,62-65,4,65
681,66-73,8,73
680,74-78,5,78
679,79-88,10,88
678,89-93,5,93
677,94-100,7,100
676,101-107,7,107
675,108-112,5,112
674,113-122,10,122
673,123-135,13,135
672,136-146,11,146
671,147-152,6,152
670,153-162,10,162
669,163-175,13,175
668,176-192,17,192
667,193-202,10,202
666,203-214,12,214
665,215-233,19,233
664,234-243,10,243
663,244-258,15,258
662,259-275,17,275
661,276-294,19,294
660,295-310,16,310
659,311-325,15,325
658,326-336,11,336
657,337-348,12,348
656,349-371,23,371
655,372-402,31,402
654,403-421,19,421
653,422-437,16,437
652,438-458,21,458
651,459-482,24,482
650,483-503,21,503
649,504-528,25,528
648,529-560,32,560
647,561-583,23,583
646,584-618,35,618
645,619-645,27,645
644,646-677,32,677
643,678-694,17,694
642,695-715,21,715
641,716-740,25,740
640,741-777,37,777
639,778-811,34,811
638,812-846,35,846
637,847-887,41,887
636,888-931,44,931
635,932-973,42,973
634,974-1020,47,1020
633,1021-1061,41,1061
632,1062-1099,38,1099
631,1100-1139,40,1139
630,1140-1175,36,1175
629,1176-1223,48,1223
628,1224-1265,42,1265
627,1266-1308,43,1308
626,1309-1365,57,1365
625,1366-1416,51,1416
624,1417-1458,42,1458
623,1459-1512,54,1512
622,1513-1573,61,1573
621,1574-1613,40,1613
620,1614-1662,49,1662
619,1663-1712,50,1712
618,1713-1774,62,1774
617,1775-1830,56,1830
616,1831-1872,42,1872
615,1873-1937,65,1937
614,1938-1995,58,1995
613,1996-2058,63,2058
612,2059-2125,67,2125
611,2126-2176,51,2176
610,2177-2227,51,2227
609,2228-2293,66,2293
608,2294-2367,74,2367
607,2368-2436,69,2436
606,2437-2505,69,2505
605,2506-2569,64,2569
604,2570-2638,69,2638
603,2639-2709,71,2709
602,2710-2778,69,2778
601,2779-2858,80,2858
600,2859-2934,76,2934
599,2935-3006,72,3006
598,3007-3081,75,3081
597,3082-3154,73,3154
596,3155-3217,63,3217
595,3218-3296,79,3296
594,3297-3368,72,3368
593,3369-3450,82,3450
592,3451-3540,90,3540
591,3541-3634,94,3634
590,3635-3715,81,3715
589,3716-3817,102,3817
588,3818-3899,82,3899
587,3900-3984,85,3984
586,3985-4063,79,4063
585,4064-4148,85,4148
584,4149-4250,102,4250
583,4251-4334,84,4334
582,4335-4427,93,4427
581,4428-4538,111,4538
580,4539-4646,108,4646
579,4647-4756,110,4756
578,4757-4851,95,4851
577,4852-4960,109,4960
576,4961-5089,129,5089
575,5090-5202,113,5202
574,5203-5309,107,5309
573,5310-5408,99,5408
572,5409-5512,104,5512
571,5513-5626,114,5626
570,5627-5747,121,5747
569,5748-5870,123,5870
568,5871-5996,126,5996
567,5997-6125,129,6125
566,6126-6246,121,6246
565,6247-6382,136,6382
564,6383-6536,154,6536
563,6537-6650,114,6650
562,6651-6775,125,6775
561,6776-6887,112,6887
560,6888-7014,127,7014
559,7015-7150,136,7150
558,7151-7285,135,7285
557,7286-7432,147,7432
556,7433-7578,146,7578
555,7579-7731,153,7731
554,7732-7873,142,7873
553,7874-8003,130,8003
552,8004-8140,137,8140
551,8141-8272,132,8272
550,8273-8429,157,8429
549,8430-8574,145,8574
548,8575-8737,163,8737
547,8738-8882,145,8882
546,8883-9033,151,9033
545,9034-9201,168,9201
544,9202-9344,143,9344
543,9345-9491,147,9491
542,9492-9651,160,9651
541,9652-9804,153,9804
540,9805-9961,157,9961
