分数,位次区间,同分人数,建议位次
439,72744-73210,467,73210
438,73211-73695,485,73695
437,73696-74179,484,74179
436,74180-74685,506,74685
435,74686-75214,529,75214
434,75215-75709,495,75709
433,75710-76174,465,76174
432,76175-76641,467,76641
431,76642-77109,468,77109
430,77110-77555,446,77555
429,77556-78064,509,78064
428,78065-78480,416,78480
427,78481-78966,486,78966
426,78967-79431,465,79431
425,79432-79892,461,79892
424,79893-80350,458,80350
423,80351-80832,482,80832
422,80833-81340,508,81340
421,81341-81812,472,81812
420,81813-82279,467,82279
419,82280-82739,460,82739
418,82740-83185,446,83185
417,83186-83668,483,83668
416,83669-84122,454,84122
415,84123-84573,451,84573
414,84574-85030,457,85030
413,85031-85476,446,85476
412,85477-85927,451,85927
411,85928-86402,475,86402
410,86403-86866,464,86866
409,86867-87346,480,87346
408,87347-87793,447,87793
407,87794-88241,448,88241
406,88242-88736,495,88736
405,88737-89182,446,89182
404,89183-89628,446,89628
403,89629-90076,448,90076
402,90077-90501,425,90501
401,90502-90925,424,90925
400,90926-91375,450,91375
399,91376-91853,478,91853
398,91854-92275,422,92275
397,92276-92733,458,92733
396,92734-93152,419,93152
395,93153-93565,413,93565
394,93566-94040,475,94040
393,94041-94496,456,94496
392,94497-94926,430,94926
391,94927-95377,451,95377
390,95378-95827,450,95827
389,95828-96267,440,96267
388,96268-96756,489,96756
387,96757-97224,468,97224
386,97225-97630,406,97630
385,97631-98080,450,98080
384,98081-98504,424,98504
383,98505-98939,435,98939
382,98940-99364,425,99364
381,99365-99767,403,99767
380,99768-100166,399,100166
379,100167-100558,392,100558
378,100559-100970,412,100970
377,100971-101387,417,101387
376,101388-101790,403,101790
375,101791-102164,374,102164
374,102165-102596,432,102596
373,102597-102965,369,102965
372,102966-103362,397,103362
371,103363-103737,375,103737
370,103738-104129,392,104129
369,104130-104511,382,104511
368,104512-104907,396,104907
367,104908-105291,384,105291
366,105292-105629,338,105629
365,105630-106007,378,106007
364,106008-106402,395,106402
363,106403-106765,363,106765
362,106766-107134,369,107134
361,107135-107503,369,107503
360,107504-107892,389,107892
359,107893-108239,347,108239
358,108240-108571,332,108571
357,108572-108911,340,108911
356,108912-109300,389,109300
355,109301-109661,361,109661
354,109662-109994,333,109994
353,109995-110367,373,110367
352,110368-110704,337,110704
351,110705-111062,358,111062
350,111063-111400,338,111400
349,111401-111726,326,111726
348,111727-112125,399,112125
347,112126-112457,332,112457
346,112458-112824,367,112824
345,112825-113157,333,113157
344,113158-113491,334,113491
343,113492-113813,322,113813
342,113814-114150,337,114150
341,114151-114475,325,114475
340,114476-114760,285,114760
339,114761-115073,313,115073
338,115074-115397,324,115397
337,115398-115679,282,115679
336,115680-115975,296,115975
335,115976-116297,322,116297
334,116298-116608,311,116608
333,116609-116898,290,116898
332,116899-117207,309,117207
331,117208-117499,292,117499
330,117500-117789,290,117789
329,117790-118071,282,118071
328,118072-118378,307,118378
327,118379-118669,291,118669
326,118670-118930,261,118930
325,118931-119212,282,119212
324,119213-119494,282,119494
323,119495-119795,301,119795
322,119796-120084,289,120084
321,120085-120361,277,120361
320,120362-120609,248,120609
319,120610-120866,257,120866
318,120867-121140,274,121140
317,121141-121409,269,121409
316,121410-121668,259,121668
315,121669-121918,250,121918
314,121919-122136,218,122136
313,122137-122382,246,122382
312,122383-122641,259,122641
311,122642-122886,245,122886
310,122887-123136,250,123136
309,123137-123386,250,123386
308,123387-123619,233,123619
307,123620-123843,224,123843
306,123844-124069,226,124069
305,124070-124310,241,124310
304,124311-124509,199,124509
303,124510-124761,252,124761
302,124762-124981,220,124981
301,124982-125210,229,125210
300,125211-125409,199,125409
299,125410-125619,210,125619
298,125620-125831,212,125831
297,125832-126017,186,126017
296,126018-126225,208,126225
295,126226-126424,199,126424
294,126425-126612,188,126612
293,126613-126782,170,126782
292,126783-126960,178,126960
291,126961-127152,192,127152
290,127153-127345,193,127345
289,127346-127526,181,127526
288,127527-127696,170,127696
287,127697-127875,179,127875
286,127876-128065,190,128065
285,128066-128235,170,128235
284,128236-128416,181,128416
283,128417-128583,167,128583
282,128584-128750,167,128750
281,128751-128940,190,128940
280,128941-129105,165,129105
279,129106-129248,143,129248
278,129249-129417,169,129417
277,129418-129553,136,129553
