分数,位次区间,同分人数,建议位次
439,142252-143057,806,143057
438,143058-143930,873,143930
437,143931-144729,799,144729
436,144730-145515,786,145515
435,145516-146339,824,146339
434,146340-147162,823,147162
433,147163-147987,825,147987
432,147988-148796,809,148796
431,148797-149615,819,149615
430,149616-150433,818,150433
429,150434-151199,766,151199
428,151200-152021,822,152021
427,152022-152752,731,152752
426,152753-153495,743,153495
425,153496-154215,720,154215
424,154216-154962,747,154962
423,154963-155642,680,155642
422,155643-156398,756,156398
421,156399-157137,739,157137
420,157138-157892,755,157892
419,157893-158594,702,158594
418,158595-159311,717,159311
417,159312-160051,740,160051
416,160052-160740,689,160740
415,160741-161451,711,161451
414,161452-162144,693,162144
413,162145-162888,744,162888
412,162889-163586,698,163586
411,163587-164253,667,164253
410,164254-164901,648,164901
409,164902-165558,657,165558
408,165559-166215,657,166215
407,166216-166876,661,166876
406,166877-167511,635,167511
405,167512-168185,674,168185
404,168186-168837,652,168837
403,168838-169504,667,169504
402,169505-170141,637,170141
401,170142-170816,675,170816
400,170817-171459,643,171459
399,171460-172091,632,172091
398,172092-172732,641,172732
397,172733-173349,617,173349
396,173350-173925,576,173925
395,173926-174531,606,174531
394,174532-175146,615,175146
393,175147-175738,592,175738
392,175739-176320,582,176320
391,176321-176884,564,176884
390,176885-177427,543,177427
389,177428-177984,557,177984
388,177985-178542,558,178542
387,178543-179119,577,179119
386,179120-179683,564,179683
385,179684-180231,548,180231
384,180232-180774,543,180774
383,180775-181343,569,181343
382,181344-181869,526,181869
381,181870-182438,569,182438
380,182439-182954,516,182954
379,182955-183461,507,183461
378,183462-183966,505,183966
377,183967-184451,485,184451
376,184452-184964,513,184964
375,184965-185445,481,185445
374,185446-185913,468,185913
373,185914-186375,462,186375
372,186376-186856,481,186856
371,186857-187331,475,187331
370,187332-187762,431,187762
369,187763-188182,420,188182
368,188183-188655,473,188655
367,188656-189102,447,189102
366,189103-189523,421,189523
365,189524-189937,414,189937
364,189938-190352,415,190352
363,190353-190736,384,190736
362,190737-191142,406,191142
361,191143-191538,396,191538
360,191539-191935,397,191935
359,191936-192354,419,192354
358,192355-192786,432,192786
357,192787-193166,380,193166
356,193167-193522,356,193522
355,193523-193877,355,193877
354,193878-194265,388,194265
353,194266-194636,371,194636
352,194637-195012,376,195012
351,195013-195375,363,195375
350,195376-195735,360,195735
349,195736-196052,317,196052
348,196053-196389,337,196389
347,196390-196733,344,196733
346,196734-197048,315,197048
345,197049-197386,338,197386
344,197387-197703,317,197703
343,197704-198049,346,198049
342,198050-198401,352,198401
341,198402-198721,320,198721
340,198722-199031,310,199031
339,199032-199334,303,199334
338,199335-199638,304,199638
337,199639-199953,315,199953
336,199954-200234,281,200234
335,200235-200502,268,200502
334,200503-200784,282,200784
333,200785-201049,265,201049
332,201050-201330,281,201330
331,201331-201583,253,201583
330,201584-201823,240,201823
329,201824-202088,265,202088
328,202089-202331,243,202331
327,202332-202575,244,202575
326,202576-202817,242,202817
325,202818-203084,267,203084
324,203085-203321,237,203321
323,203322-203551,230,203551
322,203552-203803,252,203803
321,203804-204045,242,204045
320,204046-204282,237,204282
319,204283-204515,233,204515
318,204516-204734,219,204734
317,204735-204946,212,204946
316,204947-205165,219,205165
315,205166-205372,207,205372
314,205373-205619,247,205619
313,205620-205841,222,205841
312,205842-206027,186,206027
311,206028-206240,213,206240
310,206241-206431,191,206431
309,206432-206611,180,206611
308,206612-206776,165,206776
307,206777-206960,184,206960
306,206961-207129,169,207129
305,207130-207294,165,207294
304,207295-207458,164,207458
303,207459-207645,187,207645
302,207646-207827,182,207827
301,207828-207975,148,207975
300,207976-208138,163,208138
299,208139-208314,176,208314
298,208315-208483,169,208483
297,208484-208647,164,208647
296,208648-208829,182,208829
295,208830-208980,151,208980
294,208981-209146,166,209146
293,209147-209310,164,209310
292,209311-209445,135,209445
291,209446-209585,140,209585
290,209586-209720,135,209720
289,209721-209856,136,209856
288,209857-209986,130,209986
287,209987-210111,125,210111
286,210112-210247,136,210247
285,210248-210380,133,210380
284,210381-210507,127,210507
283,210508-210632,125,210632
282,210633-210747,115,210747
281,210748-210880,133,210880
280,210881-210995,115,210995
279,210996-211113,118,211113
278,211114-211222,109,211222
277,211223-211326,104,211326
276,211327-211414,88,211414
275,211415-211518,104,211518
274,211519-211632,114,211632
273,211633-211745,113,211745
272,211746-211859,114,211859
271,211860-211979,120,211979
270,211980-212085,106,212085
269,212086-212193,108,212193
268,212194-212294,101,212294
267,212295-212409,115,212409
266,212410-212499,90,212499
265,212500-212580,81,212580
264,212581-212691,111,212691
263,212692-212789,98,212789
262,212790-212874,85,212874
261,212875-212956,82,212956
260,212957-213015,59,213015
259,213016-213096,81,213096
258,213097-213181,85,213181
257,213182-213246,65,213246
256,213247-213326,80,213326
255,213327-213413,87,213413
254,213414-213490,77,213490
253,213491-213555,65,213555
252,213556-213625,70,213625
251,213626-213699,74,213699
250,213700-213764,65,213764
249,213765-213829,65,213829
248,213830-213894,65,213894
247,213895-213951,57,213951
246,213952-214006,55,214006
245,214007-214072,66,214072
244,214073-214138,66,214138
243,214139-214206,68,214206
242,214207-214252,46,214252
241,214253-214300,48,214300
240,214301-214360,60,214360
239,214361-214414,54,214414
238,214415-214453,39,214453
237,214454-214513,60,214513
236,214514-214566,53,214566
235,214567-214617,51,214617
234,214618-214663,46,214663
233,214664-214716,53,214716
232,214717-214759,43,214759
231,214760-214795,36,214795
230,214796-214830,35,214830
229,214831-214879,49,214879
228,214880-214923,44,214923
227,214924-214952,29,214952
226,214953-214988,36,214988
225,214989-215028,40,215028
224,215029-215069,41,215069
223,215070-215102,33,215102
222,215103-215127,25,215127
221,215128-215156,29,215156
220,215157-215183,27,215183
219,215184-215213,30,215213
218,215214-215248,35,215248
217,215249-215276,28,215276
216,215277-215313,37,215313
215,215314-215346,33,215346
214,215347-215378,32,215378
213,215379-215407,29,215407
212,215408-215430,23,215430
211,215431-215455,25,215455
210,215456-215488,33,215488
209,215489-215510,22,215510
208,215511-215534,24,215534
207,215535-215562,28,215562
206,215563-215576,14,215576
205,215577-215601,25,215601
204,215602-215617,16,215617
203,215618-215639,22,215639
202,215640-215655,16,215655
201,215656-215671,16,215671
200,215672-215695,24,215695
199,215696-215708,13,215708
198,215709-215722,14,215722
197,215723-215737,15,215737
196,215738-215753,16,215753
195,215754-215766,13,215766
194,215767-215785,19,215785
193,215786-215801,16,215801
192,215802-215814,13,215814
191,215815-215827,13,215827
190,215828-215844,17,215844
189,215845-215853,9,215853
188,215854-215867,14,215867
187,215868-215877,10,215877
186,215878-215886,9,215886
185,215887-215897,11,215897
184,215898-215907,10,215907
183,215908-215914,7,215914
182,215915-215924,10,215924
181,215925-215934,10,215934
180,215935-215942,8,215942
179,215943-215951,9,215951
178,215952-215959,8,215959
177,215960-215967,8,215967
176,215968-215979,12,215979
175,215980-215985,6,215985
174,215986-215996,11,215996
173,215997-216005,9,216005
172,216006-216015,10,216015
171,216016-216018,3,216018
170,216019-216023,5,216023
169,216024-216031,8,216031
168,216032-216034,3,216034
167,216035-216039,5,216039
166,216040-216050,11,216050
165,216051-216053,3,216053
164,216054-216060,7,216060
163,216061-216063,3,216063
162,216064-216064,1,216064
161,216065-216068,4,216068
160,216069-216074,6,216074
159,216075-216079,5,216079
158,216080-216084,5,216084
157,216085-216091,7,216091
156,216092-216098,7,216098
155,216099-216103,5,216103
154,216104-216106,3,216106
153,216107-216114,8,216114
152,216115-216118,4,216118
151,216119-216122,4,216122
150,216123-216124,2,216124
149,216125-216126,2,216126
148,216127-216130,4,216130
147,216131-216131,1,216131
146,216132-216136,5,216136
145,216137-216138,2,216138
144,216139-216143,5,216143
143,216144-216146,3,216146
142,216147-216147,1,216147
141,216148-216151,4,216151
140,216152-216153,2,216153
