分数,位次区间,同分人数,建议位次
615,1-53,53,53
614,54-64,11,64
613,65-77,13,77
612,78-87,10,87
611,88-101,14,101
610,102-109,8,109
609,110-127,18,127
608,128-150,23,150
607,151-167,17,167
606,168-187,20,187
605,188-214,27,214
604,215-230,16,230
603,231-258,28,258
602,259-282,24,282
601,283-312,30,312
600,313-343,31,343
599,344-374,31,374
598,375-404,30,404
597,405-446,42,446
596,447-484,38,484
595,485-522,38,522
594,523-566,44,566
593,567-612,46,612
592,613-673,61,673
591,674-719,46,719
590,720-768,49,768
589,769-820,52,820
588,821-883,63,883
587,884-952,69,952
586,953-1030,78,1030
585,1031-1106,76,1106
584,1107-1195,89,1195
583,1196-1275,80,1275
582,1276-1345,70,1345
581,1346-1419,74,1419
580,1420-1506,87,1506
579,1507-1579,73,1579
578,1580-1656,77,1656
577,1657-1742,86,1742
576,1743-1818,76,1818
575,1819-1892,74,1892
574,1893-1981,89,1981
573,1982-2072,91,2072
572,2073-2169,97,2169
571,2170-2277,108,2277
570,2278-2376,99,2376
569,2377-2495,119,2495
568,2496-2609,114,2609
567,2610-2713,104,2713
566,2714-2834,121,2834
565,2835-2973,139,2973
564,2974-3124,151,3124
563,3125-3245,121,3245
562,3246-3364,119,3364
561,3365-3500,136,3500
560,3501-3636,136,3636
559,3637-3787,151,3787
558,3788-3900,113,3900
557,3901-4052,152,4052
556,4053-4172,120,4172
555,4173-4290,118,4290
554,4291-4450,160,4450
553,4451-4617,167,4617
552,4618-4781,164,4781
551,4782-4946,165,4946
550,4947-5101,155,5101
549,5102-5274,173,5274
548,5275-5437,163,5437
547,5438-5610,173,5610
546,5611-5773,163,5773
545,5774-5941,168,5941
544,5942-6135,194,6135
543,6136-6325,190,6325
542,6326-6512,187,6512
541,6513-6722,210,6722
540,6723-6911,189,6911
539,6912-7106,195,7106
538,7107-7299,193,7299
537,7300-7494,195,7494
536,7495-7694,200,7694
535,7695-7884,190,7884
534,7885-8063,179,8063
533,8064-8248,185,8248
532,8249-8473,225,8473
531,8474-8680,207,8680
530,8681-8892,212,8892
529,8893-9102,210,9102
528,9103-9311,209,9311
527,9312-9531,220,9531
526,9532-9747,216,9747
525,9748-9965,218,9965
524,9966-10177,212,10177
523,10178-10407,230,10407
522,10408-10607,200,10607
521,10608-10816,209,10816
520,10817-11020,204,11020
519,11021-11219,199,11219
518,11220-11421,202,11421
517,11422-11620,199,11620
516,11621-11846,226,11846
515,11847-12052,206,12052
514,12053-12259,207,12259
513,12260-12495,236,12495
512,12496-12689,194,12689
511,12690-12925,236,12925
510,12926-13153,228,13153
509,13154-13407,254,13407
508,13408-13652,245,13652
507,13653-13869,217,13869
506,13870-14099,230,14099
505,14100-14344,245,14344
504,14345-14556,212,14556
503,14557-14759,203,14759
502,14760-14966,207,14966
501,14967-15195,229,15195
500,15196-15414,219,15414
499,15415-15660,246,15660
498,15661-15885,225,15885
497,15886-16124,239,16124
496,16125-16366,242,16366
495,16367-16610,244,16610
494,16611-16848,238,16848
493,16849-17092,244,17092
492,17093-17345,253,17345
491,17346-17574,229,17574
490,17575-17799,225,17799
489,17800-18037,238,18037
488,18038-18287,250,18287
487,18288-18514,227,18514
486,18515-18753,239,18753
485,18754-18980,227,18980
484,18981-19219,239,19219
483,19220-19460,241,19460
482,19461-19710,250,19710
481,19711-19936,226,19936
480,19937-20169,233,20169
479,20170-20396,227,20396
478,20397-20621,225,20621
477,20622-20863,242,20863
476,20864-21125,262,21125
475,21126-21378,253,21378
474,21379-21603,225,21603
473,21604-21857,254,21857
472,21858-22082,225,22082
471,22083-22297,215,22297
