分数,位次区间,同分人数,建议位次
691,1-10,3,10
688,11-15,5,15
687,16-18,3,18
686,19-20,2,20
685,21-27,7,27
684,28-28,1,28
683,29-33,5,33
682,34-37,4,37
681,38-39,2,39
680,40-45,6,45
679,46-54,9,54
678,55-66,12,66
677,67-78,12,78
676,79-89,11,89
675,90-110,21,110
674,111-120,10,120
673,121-136,16,136
672,137-150,14,150
671,151-170,20,170
670,171-191,21,191
669,192-217,26,217
668,218-232,15,232
667,233-248,16,248
666,249-274,26,274
665,275-294,20,294
664,295-324,30,324
663,325-359,35,359
662,360-381,22,381
661,382-423,42,423
660,424-465,42,465
659,466-505,40,505
658,506-538,33,538
657,539-579,41,579
656,580-628,49,628
655,629-673,45,673
654,674-724,51,724
653,725-761,37,761
652,762-797,36,797
651,798-844,47,844
650,845-898,54,898
649,899-950,52,950
648,951-1007,57,1007
647,1008-1063,56,1063
646,1064-1107,44,1107
645,1108-1174,67,1174
644,1175-1240,66,1240
643,1241-1304,64,1304
642,1305-1381,77,1381
641,1382-1444,63,1444
640,1445-1515,71,1515
639,1516-1583,68,1583
638,1584-1649,66,1649
637,1650-1725,76,1725
636,1726-1798,73,1798
635,1799-1882,84,1882
634,1883-1958,76,1958
633,1959-2052,94,2052
632,2053-2142,90,2142
631,2143-2223,81,2223
630,2224-2316,93,2316
629,2317-2410,94,2410
628,2411-2532,122,2532
627,2533-2624,92,2624
626,2625-2722,98,2722
625,2723-2844,122,2844
624,2845-2947,103,2947
623,2948-3046,99,3046
622,3047-3152,106,3152
621,3153-3257,105,3257
620,3258-3378,121,3378
619,3379-3479,101,3479
618,3480-3591,112,3591
617,3592-3712,121,3712
616,3713-3826,114,3826
615,3827-3936,110,3936
614,3937-4048,112,4048
613,4049-4170,122,4170
612,4171-4287,117,4287
611,4288-4428,141,4428
610,4429-4549,121,4549
609,4550-4686,137,4686
608,4687-4838,152,4838
607,4839-4964,126,4964
606,4965-5102,138,5102
605,5103-5218,116,5218
604,5219-5367,149,5367
603,5368-5496,129,5496
602,5497-5624,128,5624
601,5625-5765,141,5765
600,5766-5911,146,5911
599,5912-6048,137,6048
598,6049-6207,159,6207
597,6208-6368,161,6368
596,6369-6521,153,6521
595,6522-6665,144,6665
594,6666-6802,137,6802
593,6803-6960,158,6960
592,6961-7093,133,7093
591,7094-7244,151,7244
590,7245-7382,138,7382
589,7383-7539,157,7539
588,7540-7711,172,7711
587,7712-7872,161,7872
586,7873-8052,180,8052
585,8053-8207,155,8207
584,8208-8388,181,8388
583,8389-8583,195,8583
582,8584-8737,154,8737
581,8738-8918,181,8918
580,8919-9107,189,9107
579,9108-9276,169,9276
578,9277-9456,180,9456
577,9457-9617,161,9617
576,9618-9802,185,9802
575,9803-9979,177,9979
574,9980-10167,188,10167
573,10168-10338,171,10338
572,10339-10544,206,10544
571,10545-10699,155,10699
570,10700-10879,180,10879
569,10880-11064,185,11064
568,11065-11242,178,11242
567,11243-11427,185,11427
566,11428-11603,176,11603
565,11604-11793,190,11793
564,11794-11999,206,11999
563,12000-12208,209,12208
562,12209-12397,189,12397
561,12398-12612,215,12612
560,12613-12824,212,12824
559,12825-12991,167,12991
558,12992-13209,218,13209
557,13210-13416,207,13416
556,13417-13636,220,13636
555,13637-13852,216,13852
554,13853-14050,198,14050
553,14051-14226,176,14226
552,14227-14414,188,14414
551,14415-14626,212,14626
550,14627-14809,183,14809
549,14810-15013,204,15013
548,15014-15250,237,15250
