分数,位次区间,同分人数,建议位次
690,1-102,102,102
689,103-113,11,113
688,114-125,12,125
687,126-133,8,133
686,134-146,13,146
685,147-161,15,161
684,162-174,13,174
683,175-192,18,192
682,193-208,16,208
681,209-220,12,220
680,221-238,18,238
679,239-247,9,247
678,248-266,19,266
677,267-271,5,271
676,272-290,19,290
675,291-306,16,306
674,307-327,21,327
673,328-347,20,347
672,348-373,26,373
671,374-394,21,394
670,395-411,17,411
669,412-439,28,439
668,440-462,23,462
667,463-484,22,484
666,485-510,26,510
665,511-538,28,538
664,539-586,48,586
663,587-622,36,622
662,623-654,32,654
661,655-691,37,691
660,692-713,22,713
659,714-741,28,741
658,742-781,40,781
657,782-821,40,821
656,822-852,31,852
655,853-885,33,885
654,886-927,42,927
653,928-962,35,962
652,963-1006,44,1006
651,1007-1041,35,1041
650,1042-1079,38,1079
649,1080-1117,38,1117
648,1118-1172,55,1172
647,1173-1221,49,1221
646,1222-1275,54,1275
645,1276-1319,44,1319
644,1320-1371,52,1371
643,1372-1417,46,1417
642,1418-1469,52,1469
641,1470-1512,43,1512
640,1513-1573,61,1573
639,1574-1630,57,1630
638,1631-1697,67,1697
637,1698-1746,49,1746
636,1747-1793,47,1793
635,1794-1853,60,1853
634,1854-1903,50,1903
633,1904-1960,57,1960
632,1961-2013,53,2013
631,2014-2073,60,2073
630,2074-2143,70,2143
629,2144-2203,60,2203
628,2204-2265,62,2265
627,2266-2334,69,2334
626,2335-2402,68,2402
625,2403-2474,72,2474
624,2475-2547,73,2547
623,2548-2622,75,2622
622,2623-2697,75,2697
621,2698-2772,75,2772
620,2773-2837,65,2837
619,2838-2907,70,2907
618,2908-2999,92,2999
617,3000-3087,88,3087
616,3088-3158,71,3158
615,3159-3244,86,3244
614,3245-3328,84,3328
613,3329-3413,85,3413
612,3414-3507,94,3507
611,3508-3586,79,3586
610,3587-3672,86,3672
609,3673-3752,80,3752
608,3753-3835,83,3835
607,3836-3927,92,3927
606,3928-4024,97,4024
605,4025-4120,96,4120
604,4121-4222,102,4222
603,4223-4335,113,4335
602,4336-4444,109,4444
601,4445-4555,111,4555
600,4556-4639,84,4639
599,4640-4756,117,4756
