分数,位次区间,同分人数,建议位次
711,1-20,20,20
710,21-23,3,23
709,24-30,7,30
708,31-37,7,37
707,38-45,8,45
706,46-51,6,51
705,52-57,6,57
704,58-66,9,66
703,67-85,19,85
702,86-96,11,96
701,97-107,11,107
700,108-122,15,122
699,123-147,25,147
698,148-166,19,166
697,167-179,13,179
696,180-205,26,205
695,206-242,37,242
694,243-271,29,271
693,272-319,48,319
692,320-359,40,359
691,360-401,42,401
690,402-434,33,434
689,435-484,50,484
688,485-541,57,541
687,542-607,66,607
686,608-657,50,657
685,658-718,61,718
684,719-796,78,796
683,797-863,67,863
682,864-947,84,947
681,948-1007,60,1007
680,1008-1084,77,1084
679,1085-1170,86,1170
678,1171-1252,82,1252
677,1253-1357,105,1357
676,1358-1471,114,1471
675,1472-1580,109,1580
674,1581-1685,105,1685
673,1686-1803,118,1803
672,1804-1919,116,1919
671,1920-2029,110,2029
670,2030-2168,139,2168
669,2169-2310,142,2310
668,2311-2438,128,2438
667,2439-2587,149,2587
666,2588-2733,146,2733
665,2734-2883,150,2883
664,2884-3034,151,3034
663,3035-3186,152,3186
662,3187-3359,173,3359
661,3360-3514,155,3514
660,3515-3678,164,3678
659,3679-3849,171,3849
658,3850-4026,177,4026
657,4027-4204,178,4204
656,4205-4399,195,4399
655,4400-4588,189,4588
654,4589-4811,223,4811
653,4812-5035,224,5035
652,5036-5240,205,5240
651,5241-5466,226,5466
650,5467-5681,215,5681
649,5682-5888,207,5888
648,5889-6099,211,6099
647,6100-6349,250,6349
646,6350-6575,226,6575
645,6576-6831,256,6831
644,6832-7107,276,7107
643,7108-7371,264,7371
642,7372-7619,248,7619
641,7620-7899,280,7899
640,7900-8169,270,8169
639,8170-8429,260,8429
638,8430-8708,279,8708
637,8709-9006,298,9006
636,9007-9311,305,9311
635,9312-9592,281,9592
634,9593-9901,309,9901
633,9902-10236,335,10236
632,10237-10534,298,10534
631,10535-10833,299,10833
630,10834-11146,313,11146
629,11147-11467,321,11467
628,11468-11791,324,11791
627,11792-12117,326,12117
626,12118-12471,354,12471
625,12472-12832,361,12832
624,12833-13184,352,13184
623,13185-13518,334,13518
622,13519-13877,359,13877
621,13878-14250,373,14250
620,14251-14606,356,14606
619,14607-14992,386,14992
618,14993-15361,369,15361
617,15362-15757,396,15757
616,15758-16136,379,16136
615,16137-16528,392,16528
614,16529-16923,395,16923
613,16924-17348,425,17348
612,17349-17749,401,17749
611,17750-18176,427,18176
610,18177-18557,381,18557
609,18558-18977,420,18977
608,18978-19438,461,19438
607,19439-19868,430,19868
606,19869-20318,450,20318
605,20319-20800,482,20800
604,20801-21273,473,21273
603,21274-21717,444,21717
