分数,位次区间,同分人数,建议位次
680,1-1333,78,1333
679,1334-1417,84,1417
678,1418-1498,81,1498
677,1499-1580,82,1580
676,1581-1658,78,1658
675,1659-1758,100,1758
674,1759-1847,89,1847
673,1848-1931,84,1931
672,1932-2047,116,2047
671,2048-2169,122,2169
670,2170-2271,102,2271
669,2272-2379,108,2379
668,2380-2492,113,2492
667,2493-2606,114,2606
666,2607-2718,112,2718
665,2719-2855,137,2855
664,2856-2972,117,2972
663,2973-3086,114,3086
662,3087-3229,143,3229
661,3230-3357,128,3357
660,3358-3459,102,3459
659,3460-3611,152,3611
658,3612-3735,124,3735
657,3736-3891,156,3891
656,3892-4026,135,4026
655,4027-4171,145,4171
654,4172-4302,131,4302
653,4303-4459,157,4459
652,4460-4625,166,4625
651,4626-4761,136,4761
650,4762-4913,152,4913
649,4914-5070,157,5070
648,5071-5245,175,5245
647,5246-5404,159,5404
646,5405-5557,153,5557
645,5558-5690,133,5690
644,5691-5858,168,5858
643,5859-6024,166,6024
642,6025-6198,174,6198
641,6199-6376,178,6376
640,6377-6555,179,6555
639,6556-6734,179,6734
638,6735-6890,156,6890
637,6891-7060,170,7060
636,7061-7232,172,7232
635,7233-7401,169,7401
634,7402-7592,191,7592
633,7593-7774,182,7774
632,7775-7969,195,7969
631,7970-8146,177,8146
630,8147-8316,170,8316
629,8317-8499,183,8499
628,8500-8646,147,8646
627,8647-8819,173,8819
626,8820-9010,191,9010
625,9011-9205,195,9205
624,9206-9389,184,9389
623,9390-9588,199,9588
622,9589-9768,180,9768
621,9769-9949,181,9949
620,9950-10116,167,10116
619,10117-10292,176,10292
618,10293-10469,177,10469
617,10470-10638,169,10638
616,10639-10834,196,10834
615,10835-11049,215,11049
614,11050-11239,190,11239
613,11240-11466,227,11466
612,11467-11660,194,11660
611,11661-11848,188,11848
610,11849-12079,231,12079
609,12080-12313,234,12313
608,12314-12521,208,12521
607,12522-12703,182,12703
606,12704-12910,207,12910
605,12911-13096,186,13096
604,13097-13286,190,13286
603,13287-13481,195,13481
602,13482-13687,206,13687
601,13688-13914,227,13914
600,13915-14110,196,14110
599,14111-14317,207,14317
598,14318-14513,196,14513
597,14514-14711,198,14711
596,14712-14899,188,14899
595,14900-15130,231,15130
594,15131-15358,228,15358
593,15359-15576,218,15576
592,15577-15787,211,15787
591,15788-16021,234,16021
590,16022-16238,217,16238
589,16239-16424,186,16424
588,16425-16628,204,16628
587,16629-16827,199,16827
586,16828-17045,218,17045
585,17046-17255,210,17255
584,17256-17454,199,17454
583,17455-17656,202,17656
582,17657-17896,240,17896
581,17897-18106,210,18106
580,18107-18321,215,18321
579,18322-18541,220,18541
578,18542-18759,218,18759
577,18760-18940,181,18940
576,18941-19148,208,19148
575,19149-19360,212,19360
574,19361-19612,252,19612
573,19613-19806,194,19806
572,19807-20021,215,20021
571,20022-20233,212,20233
570,20234-20457,224,20457
569,20458-20660,203,20660
