分数,位次区间,同分人数,建议位次
695,1-10,10,10
694,11-11,1,11
693,12-15,4,15
692,16-19,4,19
691,20-22,3,22
690,23-25,3,25
689,26-29,4,29
688,30-34,5,34
687,35-36,2,36
686,37-41,5,41
685,42-45,4,45
684,46-46,1,46
683,47-48,2,48
682,49-52,4,52
681,53-58,6,58
680,59-60,2,60
679,61-62,2,62
678,63-68,6,68
677,69-72,4,72
676,73-76,4,76
675,77-80,4,80
674,81-90,10,90
673,91-102,12,102
672,103-118,16,118
671,119-127,9,127
670,128-134,7,134
669,135-144,10,144
668,145-148,4,148
667,149-151,3,151
666,152-162,11,162
665,163-178,16,178
664,179-192,14,192
663,193-209,17,209
662,210-216,7,216
661,217-228,12,228
660,229-242,14,242
659,243-269,27,269
658,270-285,16,285
657,286-304,19,304
656,305-320,16,320
655,321-337,17,337
654,338-350,13,350
653,351-361,11,361
652,362-386,25,386
651,387-413,27,413
650,414-436,23,436
649,437-454,18,454
648,455-484,30,484
647,485-508,24,508
646,509-542,34,542
645,543-565,23,565
644,566-587,22,587
643,588-613,26,613
642,614-639,26,639
641,640-657,18,657
640,658-682,25,682
639,683-719,37,719
638,720-743,24,743
637,744-769,26,769
636,770-799,30,799
635,800-831,32,831
634,832-864,33,864
633,865-894,30,894
632,895-930,36,930
631,931-965,35,965
630,966-1005,40,1005
629,1006-1033,28,1033
628,1034-1079,46,1079
627,1080-1110,31,1110
626,1111-1140,30,1140
625,1141-1178,38,1178
624,1179-1227,49,1227
623,1228-1256,29,1256
622,1257-1294,38,1294
621,1295-1342,48,1342
620,1343-1387,45,1387
619,1388-1430,43,1430
618,1431-1485,55,1485
617,1486-1529,44,1529
616,1530-1576,47,1576
615,1577-1620,44,1620
614,1621-1682,62,1682
613,1683-1737,55,1737
612,1738-1798,61,1798
611,1799-1852,54,1852
610,1853-1909,57,1909
609,1910-1962,53,1962
608,1963-2024,62,2024
607,2025-2079,55,2079
606,2080-2142,63,2142
605,2143-2208,66,2208
604,2209-2268,60,2268
603,2269-2331,63,2331
602,2332-2422,91,2422
601,2423-2500,78,2500
600,2501-2562,62,2562
599,2563-2624,62,2624
598,2625-2703,79,2703
597,2704-2778,75,2778
596,2779-2864,86,2864
595,2865-2943,79,2943
594,2944-3031,88,3031
593,3032-3115,84,3115
592,3116-3189,74,3189
591,3190-3278,89,3278
590,3279-3358,80,3358
589,3359-3437,79,3437
588,3438-3515,78,3515
587,3516-3602,87,3602
586,3603-3689,87,3689
585,3690-3770,81,3770
584,3771-3860,90,3860
583,3861-3960,100,3960
582,3961-4044,84,4044
581,4045-4145,101,4145
580,4146-4241,96,4241
579,4242-4334,93,4334
578,4335-4451,117,4451
577,4452-4536,85,4536
576,4537-4657,121,4657
575,4658-4749,92,4749
574,4750-4854,105,4854
573,4855-4957,103,4957
572,4958-5055,98,5055
571,5056-5164,109,5164
