分数,位次区间,同分人数,建议位次
699,1-9,9,9
698,10-14,5,14
697,15-16,2,16
696,17-17,1,17
695,18-19,2,19
694,20-22,3,22
693,23-28,6,28
692,29-35,7,35
691,36-44,9,44
690,45-52,8,52
689,53-63,11,63
688,64-74,11,74
687,75-82,8,82
686,83-94,12,94
685,95-109,15,109
684,110-118,9,118
683,119-135,17,135
682,136-159,24,159
681,160-186,27,186
680,187-207,21,207
679,208-232,25,232
678,233-263,31,263
677,264-296,33,296
676,297-324,28,324
675,325-370,46,370
674,371-408,38,408
673,409-455,47,455
672,456-492,37,492
671,493-532,40,532
670,533-586,54,586
669,587-640,54,640
668,641-701,61,701
667,702-758,57,758
666,759-801,43,801
665,802-857,56,857
664,858-912,55,912
663,913-968,56,968
662,969-1034,66,1034
661,1035-1100,66,1100
660,1101-1159,59,1159
659,1160-1234,75,1234
658,1235-1303,69,1303
657,1304-1394,91,1394
656,1395-1475,81,1475
655,1476-1577,102,1577
654,1578-1678,101,1678
653,1679-1781,103,1781
652,1782-1885,104,1885
651,1886-1998,113,1998
650,1999-2116,118,2116
649,2117-2256,140,2256
648,2257-2381,125,2381
647,2382-2510,129,2510
646,2511-2625,115,2625
645,2626-2768,143,2768
644,2769-2904,136,2904
643,2905-3032,128,3032
642,3033-3175,143,3175
641,3176-3328,153,3328
640,3329-3460,132,3460
639,3461-3599,139,3599
638,3600-3767,168,3767
637,3768-3922,155,3922
636,3923-4090,168,4090
635,4091-4276,186,4276
634,4277-4429,153,4429
633,4430-4608,179,4608
632,4609-4790,182,4790
631,4791-4965,175,4965
630,4966-5170,205,5170
629,5171-5351,181,5351
628,5352-5547,196,5547
627,5548-5726,179,5726
626,5727-5930,204,5930
625,5931-6131,201,6131
624,6132-6341,210,6341
623,6342-6529,188,6529
622,6530-6744,215,6744
621,6745-6959,215,6959
620,6960-7159,200,7159
619,7160-7387,228,7387
618,7388-7616,229,7616
617,7617-7800,184,7800
616,7801-8025,225,8025
615,8026-8249,224,8249
614,8250-8465,216,8465
613,8466-8680,215,8680
612,8681-8900,220,8900
611,8901-9113,213,9113
610,9114-9366,253,9366
609,9367-9624,258,9624
608,9625-9849,225,9849
607,9850-10078,229,10078
606,10079-10320,242,10320
605,10321-10569,249,10569
604,10570-10835,266,10835
603,10836-11117,282,11117
602,11118-11372,255,11372
601,11373-11609,237,11609
600,11610-11865,256,11865
599,11866-12122,257,12122
598,12123-12401,279,12401
597,12402-12678,277,12678
596,12679-12915,237,12915
595,12916-13200,285,13200
594,13201-13485,285,13485
593,13486-13739,254,13739
592,13740-14058,319,14058
591,14059-14345,287,14345
590,14346-14610,265,14610
589,14611-14904,294,14904
588,14905-15186,282,15186
587,15187-15469,283,15469
586,15470-15761,292,15761
585,15762-16064,303,16064
584,16065-16380,316,16380
583,16381-16662,282,16662
582,16663-16957,295,16957
581,16958-17269,312,17269
580,17270-17554,285,17554
579,17555-17843,289,17843
578,17844-18155,312,18155
577,18156-18459,304,18459
576,18460-18737,278,18737
575,18738-19022,285,19022
574,19023-19324,302,19324
573,19325-19631,307,19631
572,19632-19966,335,19966
571,19967-20288,322,20288
570,20289-20588,300,20588
569,20589-20904,316,20904
568,20905-21221,317,21221
567,21222-21534,313,21534
566,21535-21874,340,21874
565,21875-22224,350,22224
564,22225-22543,319,22543
563,22544-22871,328,22871
562,22872-23172,301,23172
561,23173-23486,314,23486
560,23487-23844,358,23844
559,23845-24196,352,24196
558,24197-24531,335,24531
557,24532-24840,309,24840
556,24841-25157,317,25157
555,25158-25482,325,25482
554,25483-25816,334,25816
553,25817-26163,347,26163
552,26164-26463,300,26463
551,26464-26785,322,26785
550,26786-27144,359,27144
549,27145-27488,344,27488
548,27489-27800,312,27800
547,27801-28152,352,28152
546,28153-28525,373,28525
545,28526-28855,330,28855
544,28856-29188,333,29188
543,29189-29564,376,29564
542,29565-29892,328,29892
541,29893-30224,332,30224
540,30225-30578,354,30578
539,30579-30945,367,30945
538,30946-31329,384,31329
537,31330-31700,371,31700
536,31701-32031,331,32031
535,32032-32403,372,32403
534,32404-32726,323,32726
533,32727-33103,377,33103
532,33104-33459,356,33459
531,33460-33833,374,33833
530,33834-34199,366,34199
529,34200-34565,366,34565
528,34566-34932,367,34932
527,34933-35286,354,35286
526,35287-35664,378,35664
525,35665-36051,387,36051
524,36052-36412,361,36412
523,36413-36811,399,36811
522,36812-37175,364,37175
521,37176-37535,360,37535
520,37536-37919,384,37919
519,37920-38292,373,38292
518,38293-38658,366,38658
517,38659-39059,401,39059
516,39060-39447,388,39447
515,39448-39865,418,39865
514,39866-40243,378,40243
513,40244-40654,411,40654
512,40655-41049,395,41049
511,41050-41473,424,41473
510,41474-41882,409,41882
509,41883-42290,408,42290
508,42291-42718,428,42718
507,42719-43086,368,43086
506,43087-43511,425,43511
505,43512-43923,412,43923
504,43924-44294,371,44294
503,44295-44688,394,44688
502,44689-45109,421,45109
501,45110-45498,389,45498
500,45499-45901,403,45901
499,45902-46354,453,46354
498,46355-46750,396,46750
497,46751-47188,438,47188
496,47189-47606,418,47606
495,47607-47994,388,47994
494,47995-48416,422,48416
493,48417-48844,428,48844
492,48845-49259,415,49259
491,49260-49625,366,49625
490,49626-50022,397,50022
489,50023-50425,403,50425
488,50426-50863,438,50863
487,50864-51260,397,51260
486,51261-51635,375,51635
485,51636-52056,421,52056
484,52057-52463,407,52463
483,52464-52851,388,52851
482,52852-53249,398,53249
481,53250-53646,397,53646
