分数,位次区间,同分人数,建议位次
687,1-11,11,11
686,12-12,1,12
685,12-12,0,12
684,13-14,2,14
683,15-15,1,15
682,16-18,3,18
681,18-18,0,18
680,19-21,3,21
679,22-25,4,25
678,26-27,2,27
677,28-32,5,32
676,33-35,3,35
675,36-39,4,39
674,40-40,1,40
673,41-43,3,43
672,44-48,5,48
671,49-53,5,53
670,54-60,7,60
669,61-64,4,64
668,65-71,7,71
667,72-78,7,78
666,79-84,6,84
665,85-90,6,90
664,91-94,4,94
663,95-99,5,99
662,100-105,6,105
661,106-113,8,113
660,114-117,4,117
659,118-129,12,129
658,130-138,9,138
657,139-149,11,149
656,150-159,10,159
655,160-166,7,166
654,167-175,9,175
653,176-188,13,188
652,189-197,9,197
651,198-207,10,207
650,208-223,16,223
649,224-236,13,236
648,237-257,21,257
647,258-269,12,269
646,270-286,17,286
645,287-299,13,299
644,300-319,20,319
643,320-344,25,344
642,345-358,14,358
641,359-381,23,381
640,382-395,14,395
639,396-418,23,418
638,419-440,22,440
637,441-454,14,454
636,455-477,23,477
635,478-517,40,517
634,518-549,32,549
633,550-571,22,571
632,572-602,31,602
631,603-630,28,630
630,631-661,31,661
629,662-694,33,694
628,695-730,36,730
627,731-760,30,760
626,761-793,33,793
625,794-827,34,827
624,828-865,38,865
623,866-888,23,888
622,889-927,39,927
621,928-969,42,969
620,970-1024,55,1024
619,1025-1056,32,1056
618,1057-1093,37,1093
617,1094-1126,33,1126
616,1127-1171,45,1171
615,1172-1206,35,1206
614,1207-1241,35,1241
613,1242-1286,45,1286
612,1287-1327,41,1327
611,1328-1368,41,1368
610,1369-1404,36,1404
609,1405-1453,49,1453
608,1454-1500,47,1500
607,1501-1548,48,1548
606,1549-1589,41,1589
605,1590-1637,48,1637
604,1638-1698,61,1698
603,1699-1749,51,1749
602,1750-1810,61,1810
601,1811-1868,58,1868
600,1869-1923,55,1923
599,1924-1981,58,1981
598,1982-2033,52,2033
597,2034-2095,62,2095
596,2096-2158,63,2158
595,2159-2220,62,2220
594,2221-2291,71,2291
593,2292-2344,53,2344
592,2345-2418,74,2418
591,2419-2496,78,2496
590,2497-2576,80,2576
589,2577-2641,65,2641
588,2642-2716,75,2716
587,2717-2786,70,2786
586,2787-2858,72,2858
585,2859-2935,77,2935
584,2936-3003,68,3003
583,3004-3088,85,3088
582,3089-3181,93,3181
581,3182-3260,79,3260
580,3261-3338,78,3338
579,3339-3425,87,3425
578,3426-3503,78,3503
577,3504-3586,83,3586
576,3587-3676,90,3676
575,3677-3766,90,3766
574,3767-3887,121,3887
573,3888-3996,109,3996
572,3997-4088,92,4088
571,4089-4191,103,4191
570,4192-4288,97,4288
569,4289-4373,85,4373
568,4374-4469,96,4469
567,4470-4569,100,4569
566,4570-4669,100,4669
565,4670-4761,92,4761
564,4762-4853,92,4853
563,4854-4955,102,4955
562,4956-5065,110,5065
561,5066-5178,113,5178
560,5179-5277,99,5277
559,5278-5385,108,5385
558,5386-5493,108,5493
557,5494-5615,122,5615
556,5616-5717,102,5717
555,5718-5830,113,5830
554,5831-5949,119,5949
553,5950-6076,127,6076
552,6077-6184,108,6184
551,6185-6304,120,6304
550,6305-6418,114,6418
549,6419-6538,120,6538
548,6539-6663,125,6663
547,6664-6787,124,6787
546,6788-6893,106,6893
545,6894-7011,118,7011
544,7012-7136,125,7136
543,7137-7261,125,7261
542,7262-7397,136,7397
541,7398-7522,125,7522
540,7523-7663,141,7663
539,7664-7811,148,7811
538,7812-7935,124,7935
537,7936-8071,136,8071
536,8072-8232,161,8232
535,8233-8376,144,8376
534,8377-8506,130,8506
533,8507-8645,139,8645
532,8646-8776,131,8776
531,8777-8923,147,8923
530,8924-9071,148,9071
529,9072-9196,125,9196
528,9197-9330,134,9330
527,9331-9450,120,9450
526,9451-9597,147,9597
525,9598-9774,177,9774
524,9775-9914,140,9914
523,9915-10063,149,10063
522,10064-10197,134,10197
521,10198-10355,158,10355
520,10356-10503,148,10503
519,10504-10656,153,10656
518,10657-10802,146,10802
517,10803-10967,165,10967
516,10968-11105,138,11105
515,11106-11264,159,11264
514,11265-11427,163,11427
513,11428-11603,176,11603
512,11604-11775,172,11775
511,11776-11929,154,11929
510,11930-12093,164,12093
509,12094-12264,171,12264
508,12265-12416,152,12416
507,12417-12568,152,12568
506,12569-12725,157,12725
505,12726-12898,173,12898
504,12899-13086,188,13086
503,13087-13245,159,13245
502,13246-13424,179,13424
501,13425-13572,148,13572
500,13573-13753,181,13753
499,13754-13944,191,13944
498,13945-14100,156,14100
497,14101-14272,172,14272
496,14273-14436,164,14436
495,14437-14608,172,14608
494,14609-14791,183,14791
493,14792-14955,164,14955
492,14956-15134,179,15134
491,15135-15292,158,15292
490,15293-15459,167,15459
489,15460-15640,181,15640
488,15641-15822,182,15822
487,15823-15998,176,15998
486,15999-16180,182,16180
485,16181-16350,170,16350
484,16351-16549,199,16549
483,16550-16742,193,16742
482,16743-16919,177,16919
481,16920-17132,213,17132
480,17133-17291,159,17291
479,17292-17471,180,17471
478,17472-17674,203,17674
477,17675-17851,177,17851
476,17852-18044,193,18044
475,18045-18214,170,18214
474,18215-18392,178,18392
473,18393-18594,202,18594
472,18595-18769,175,18769
471,18770-18967,198,18967
470,18968-19201,234,19201
469,19202-19393,192,19393
468,19394-19590,197,19590
467,19591-19788,198,19788
466,19789-19998,210,19998
465,19999-20194,196,20194
464,20195-20396,202,20396
463,20397-20596,200,20596
462,20597-20809,213,20809
461,20810-21024,215,21024
460,21025-21227,203,21227
459,21228-21461,234,21461
458,21462-21698,237,21698
457,21699-21905,207,21905
456,21906-22115,210,22115
455,22116-22306,191,22306
454,22307-22520,214,22520
453,22521-22729,209,22729
452,22730-22943,214,22943
451,22944-23151,208,23151
450,23152-23357,206,23357
449,23358-23555,198,23555
448,23556-23783,228,23783
447,23784-23979,196,23979
446,23980-24170,191,24170
445,24171-24376,206,24376
444,24377-24600,224,24600
443,24601-24800,200,24800
442,24801-25015,215,25015
441,25016-25229,214,25229
440,25230-25441,212,25441
439,25442-25652,211,25652
438,25653-25871,219,25871
437,25872-26071,200,26071
436,26072-26309,238,26309
435,26310-26518,209,26518
434,26519-26740,222,26740
433,26741-26963,223,26963
432,26964-27201,238,27201
431,27202-27427,226,27427
430,27428-27631,204,27631
429,27632-27851,220,27851
428,27852-28076,225,28076
427,28077-28297,221,28297
426,28298-28512,215,28512
425,28513-28732,220,28732
424,28733-28986,254,28986
